gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,useless_drops,winner
4501,3851.1,3794.3,2447.21,2500.6,3,3,50,50,7,21,60,84,1487,1841,197,-1
4502,3851.1,3746.0,2445.38,2495.68,2,3,50,50,7,23,60,81,1133,1650,172,-1
4503,3732.7,3746.0,2435.67,2492.94,2,2,50,50,14,23,60,79,1331,1766,216,-1
4504,3732.7,3746.0,2437.02,2495.06,2,3,50,50,15,23,60,88,1363,1631,212,-1
4505,3732.7,3813.2,2452.94,2497.03,2,3,50,50,20,20,60,77,1093,1926,182,-1
4506,3732.7,3813.2,2468.25,2503.96,3,3,50,50,23,21,60,74,1575,2236,238,-1
4507,3732.7,3813.2,2474.48,2514.47,3,3,50,50,25,23,60,82,1275,1958,250,-1
4508,8596.8,3813.2,2508.94,2517.19,3,2,50,50,1,24,60,78,1609,2824,279,-1
4509,8596.8,3813.2,2519.67,2516.88,3,2,50,50,1,24,60,71,1835,1907,464,-1
4510,8596.8,4031.0,2497.23,2512.81,2,3,50,50,1,16,60,87,2117,2212,668,-1
4511,8596.8,4031.0,2504.08,2510.81,3,2,50,50,1,15,60,82,2390,2614,646,-1
4512,5071.8,4031.0,2451.24,2503.74,3,2,50,50,1,14,60,84,2834,2878,879,-1
4513,5071.8,4031.0,2438.8,2484.37,3,3,50,50,1,12,60,78,2951,3118,786,-1
4514,3985.7,3765.3,2434.58,2478.57,3,3,50,50,11,25,60,88,2337,2449,620,-1
4515,3985.7,3765.3,2435.55,2466.3,3,3,50,50,13,25,60,97,2919,3505,974,-1
4516,3985.7,3765.3,2435.0,2459.54,2,3,50,50,13,25,60,87,1895,2140,612,-1
4517,3985.7,3765.3,2426.03,2458.63,2,3,50,50,13,25,60,84,2195,2140,685,-1
4518,3985.7,3765.3,2432.19,2458.4,3,3,50,50,16,25,60,84,2117,2693,738,-1
4519,3985.7,3765.3,2432.94,2457.39,3,3,50,50,16,25,60,84,2412,2242,620,-1
4520,4464.5,3765.3,2440.27,2446.79,3,2,50,50,6,25,60,90,2381,2387,705,-1
4521,4464.5,3927.1,2413.79,2459.79,3,3,50,50,6,16,60,87,3245,3317,823,-1
4522,4464.5,3927.1,2408.16,2441.79,3,3,50,50,6,15,60,91,3018,2582,635,-1
4523,4464.5,3927.1,2414.5,2449.21,3,3,50,50,7,18,60,77,2992,2647,673,-1
4524,4464.5,4141.2,2412.49,2463.01,3,3,50,50,8,16,60,95,3475,3400,1022,-1
4525,4464.5,4450.1,2414.78,2471.91,3,3,50,50,8,14,60,83,4523,4375,1140,-1
