gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,winner
1334,2395.2,2391.5,178.49,177.27,3,2,50,50,-1
1335,2385.5,3135.9,169.89,183.47,3,3,50,50,-1
1336,3123.7,2390.3,185.47,177.46,3,3,50,50,-1
1337,2397.5,3115.2,180.42,159.14,2,3,50,50,-1
1338,2392.0,2376.1,170.93,174.24,2,2,50,50,-1
1339,3218.6,3124.7,184.42,182.88,3,3,50,50,-1
1340,2386.2,2400.0,171.91,182.0,2,3,50,50,-1
1341,3134.1,2386.7,182.01,177.32,3,2,50,50,-1
1342,2386.9,2387.5,180.27,176.06,2,2,50,50,-1
1343,3112.0,2397.4,182.18,180.03,3,2,50,50,-1
1344,2468.0,2493.4,169.2,171.75,2,2,50,50,-1
1345,3285.2,3146.7,190.87,186.23,3,3,50,50,-1
1346,2378.5,2400.0,172.13,179.41,2,2,50,50,-1
1347,3128.9,3128.6,182.92,182.83,3,3,50,50,-1
1348,2400.0,2482.0,178.52,173.37,2,2,50,50,-1
1349,3127.2,2372.2,183.22,178.8,3,3,50,50,-1
1350,2479.7,2485.7,178.29,177.3,2,3,50,50,-1
1351,3169.8,2464.2,183.34,176.8,3,3,50,50,-1
1352,2383.8,2377.1,173.64,171.59,3,3,50,50,-1
1353,2390.9,2370.0,182.79,177.41,2,2,50,50,-1
1354,2394.7,3250.0,177.74,186.39,3,3,50,50,-1
1355,2400.0,2378.0,178.26,180.6,2,2,50,50,-1
1356,2399.1,3181.0,178.16,184.33,2,3,50,50,-1
1357,3148.8,2490.0,189.42,181.33,3,2,50,50,-1
1358,3148.7,3126.8,182.31,184.55,3,3,50,50,-1
1359,2359.2,3111.4,171.46,184.58,3,3,50,50,-1
1360,3290.8,3357.6,195.71,189.07,3,3,50,50,-1
1361,2386.1,3117.5,177.4,177.53,3,3,50,50,-1
1362,3120.9,3100.6,181.16,181.08,3,3,50,50,-1
1363,2400.0,2396.6,171.72,175.97,2,2,50,50,-1
1364,3364.1,3136.6,175.84,182.13,3,3,50,50,-1
1365,3127.4,2379.1,186.6,178.5,3,2,50,50,-1
1366,2448.1,3235.2,175.82,187.53,3,3,50,50,-1
1367,2385.2,2465.5,172.34,171.75,2,2,50,50,-1
1368,2463.2,2486.1,180.36,180.68,2,2,50,50,-1
1369,3239.9,2387.1,182.75,174.32,3,3,50,50,-1
1370,2485.2,2471.5,184.71,172.94,2,2,50,50,-1
1371,2380.4,2339.8,178.6,168.33,2,2,50,50,-1
1372,2491.2,2500.0,179.41,183.87,2,2,50,50,-1
1373,2394.1,2300.0,175.18,175.35,2,2,50,50,-1
1374,3186.0,3142.2,192.35,179.96,3,3,50,50,-1
1375,2380.7,2372.2,174.35,172.53,2,2,50,50,-1
1376,2383.8,3129.9,180.37,189.26,3,3,50,50,-1
1377,3200.1,3135.2,183.85,185.87,3,3,50,50,-1
1378,2376.6,3202.8,176.76,182.19,2,3,50,50,-1
1379,3123.0,3119.1,179.59,183.19,3,3,50,50,-1
1380,3283.2,3329.8,196.17,185.28,3,3,50,50,-1
1381,3222.4,3278.3,185.81,187.38,3,3,50,50,-1
1382,2339.6,3340.9,177.2,184.34,3,3,50,50,-1
1383,3133.2,3111.2,182.33,177.83,3,3,50,50,-1
1384,2397.8,3209.6,177.94,182.57,2,3,50,50,-1
1385,3132.8,3259.9,189.75,206.45,3,3,50,50,-1
1386,3275.9,3122.1,186.18,182.86,3,3,50,50,-1
1387,3129.1,3101.6,186.2,181.2,3,3,50,50,-1
1388,2358.8,2378.9,176.75,179.46,2,2,50,50,-1
1389,3041.5,3227.4,182.58,187.34,3,3,50,50,-1
1390,3339.3,3138.9,199.56,177.05,3,3,50,50,-1
1391,3116.5,3300.0,180.11,193.82,3,3,50,50,-1
1392,3229.6,3287.5,201.42,199.32,3,3,50,50,-1
1393,3354.4,3313.6,201.03,211.32,3,3,50,50,-1
1394,3149.9,3330.1,183.37,200.75,3,3,50,50,-1
1395,3278.5,3218.6,204.01,208.39,3,3,50,50,-1
1396,3400.0,3230.3,204.74,195.97,3,3,50,50,-1
1397,3206.0,3160.6,204.5,199.14,3,3,50,50,-1
1398,3138.3,3293.1,192.76,194.3,3,3,50,50,-1
1399,3284.0,3386.0,209.57,197.26,3,3,50,50,-1
1400,3288.9,3277.0,204.31,204.54,3,3,50,50,-1
1401,3163.1,3208.4,184.17,192.17,3,3,50,50,-1
1402,3280.0,3256.0,203.36,195.2,3,3,50,50,-1
1403,3392.4,3393.3,195.94,197.39,3,3,50,50,-1
1404,3106.9,3189.3,184.51,178.63,3,3,50,50,-1
1405,3363.3,3225.2,207.04,200.9,3,3,50,50,-1
1406,3286.6,3236.3,199.2,189.67,3,3,50,50,-1
1407,3127.3,3238.9,210.61,193.34,3,3,50,50,-1
1408,3234.6,3296.0,209.15,203.16,3,3,50,50,-1
1409,3280.9,3300.0,205.11,196.03,3,3,50,50,-1
1410,3300.0,3229.7,183.36,185.57,3,3,50,50,-1
1411,3232.9,3239.1,211.83,194.05,3,3,50,50,-1
1412,3281.8,3264.9,194.23,193.47,3,3,50,50,-1
1413,3333.4,3384.8,198.64,212.29,3,3,50,50,-1
1414,3121.6,3177.3,180.79,185.01,3,3,50,50,-1
1415,3146.8,3119.4,184.48,179.24,3,3,50,50,-1
1416,3336.9,4005.3,204.36,193.09,4,4,50,50,-1
1417,3273.8,3233.3,207.98,195.69,3,3,50,50,-1
1418,3219.2,3233.3,192.48,200.63,3,3,50,50,-1
1419,3355.8,3061.8,209.08,183.81,3,3,50,50,-1
1420,3208.0,3174.5,193.02,189.4,3,3,50,50,-1
1421,2397.0,3215.3,175.68,183.96,3,3,50,50,-1
1422,3262.9,3139.5,190.46,190.59,3,3,50,50,-1
1423,3141.4,3219.0,181.19,179.36,3,3,50,50,-1
1424,2476.9,2337.7,176.04,176.61,3,3,50,50,-1
1425,3136.3,3127.4,183.07,180.08,3,3,50,50,-1
1426,3158.1,3221.4,187.63,188.06,3,3,50,50,-1
1427,3146.3,2390.5,180.7,177.49,3,3,50,50,-1
1428,2490.3,3106.3,181.07,178.67,3,3,50,50,-1
1429,3134.7,3225.3,182.25,187.34,3,3,50,50,-1
1430,3148.9,3131.1,180.31,184.2,3,3,50,50,-1
1431,3297.2,3263.6,189.75,178.05,3,3,50,50,-1
1432,3134.4,2374.9,183.71,180.28,3,2,50,50,-1
1433,2397.9,2295.6,174.91,174.84,3,2,50,50,-1
1434,2477.4,2479.7,175.75,177.16,3,3,50,50,-1
1435,3159.8,3207.8,191.75,186.95,3,3,50,50,-1
1436,3214.9,2390.4,182.58,177.44,3,3,50,50,-1
1437,2379.1,2380.5,177.41,175.94,3,3,50,50,-1
1438,3145.8,3142.6,181.94,176.51,3,3,50,50,-1
1439,2473.0,2382.8,179.22,174.62,3,2,50,50,-1
1440,3132.9,3133.3,180.74,180.36,3,3,50,50,-1
1441,2460.9,3097.6,178.66,182.06,3,3,50,50,-1
1442,2466.2,2477.4,179.37,180.3,2,2,50,50,-1
1443,3187.1,2344.1,179.57,173.18,3,2,50,50,-1
1444,3128.5,3127.3,179.51,175.44,3,3,50,50,-1
1445,3204.3,2384.5,187.51,175.07,3,2,50,50,-1
1446,3148.8,3237.9,183.4,181.1,3,3,50,50,-1
1447,3099.4,2376.0,176.2,168.81,3,2,50,50,-1
1448,2352.2,2352.0,171.64,176.6,3,2,50,50,-1
1449,2382.2,2461.7,172.87,174.9,2,2,50,50,-1
1450,3168.3,2375.8,183.33,172.54,3,3,50,50,-1
1451,2342.2,2331.5,168.56,172.93,3,3,50,50,-1
1452,3122.6,2378.5,178.68,175.76,3,3,50,50,-1
1453,3135.0,3277.8,180.69,176.09,3,3,50,50,-1
1454,3124.1,2362.3,177.13,174.81,3,2,50,50,-1
1455,2469.6,2360.0,178.9,172.4,2,3,50,50,-1
1456,3113.7,2397.2,179.34,174.37,3,3,50,50,-1
1457,2425.7,3095.2,174.28,177.81,3,3,50,50,-1
1458,2381.6,3132.1,174.6,178.07,3,3,50,50,-1
1459,3155.9,2379.0,185.12,177.5,3,3,50,50,-1
1460,3203.4,2468.5,181.4,178.04,3,3,50,50,-1
1461,3124.3,3275.1,174.48,173.62,3,3,50,50,-1
1462,3141.2,2397.4,181.61,176.27,3,2,50,50,-1
1463,2367.6,2366.1,171.9,175.64,2,2,50,50,-1
1464,3131.3,2353.0,174.01,176.21,3,2,50,50,-1
1465,3181.6,3133.7,180.37,177.77,3,3,50,50,-1
1466,3213.2,3165.3,187.41,186.05,3,3,50,50,-1
1467,2328.6,2366.5,175.75,176.63,3,2,50,50,-1
1468,2356.2,3079.8,175.31,180.99,3,3,50,50,-1
1469,2338.7,3124.0,175.08,180.64,2,3,50,50,-1
1470,2390.4,3107.2,176.64,193.3,3,3,50,50,-1
1471,3204.2,3207.6,182.33,183.22,3,3,50,50,-1
1472,2400.0,2446.5,177.39,181.95,3,3,50,50,-1
1473,2291.8,2397.7,172.99,178.56,3,3,50,50,-1
1474,3134.7,3096.8,193.31,177.21,3,3,50,50,-1
1475,3283.7,3125.2,185.24,177.56,3,3,50,50,-1
1476,3139.0,3202.4,182.06,178.33,3,3,50,50,-1
1477,3148.4,3227.9,189.04,193.28,3,3,50,50,-1
1478,3242.4,3136.6,188.92,190.26,3,3,50,50,-1
1479,2376.7,3211.7,175.59,182.27,3,3,50,50,-1
1480,3125.4,3089.5,179.27,180.04,3,3,50,50,-1
1481,3127.5,3083.9,178.16,179.66,3,3,50,50,-1
1482,3100.4,3215.0,180.68,189.6,3,3,50,50,-1
1483,3171.8,3127.6,177.56,184.99,3,3,50,50,-1
1484,3225.0,3069.2,196.57,175.09,3,3,50,50,-1
1485,3078.1,3173.5,176.98,196.23,3,3,50,50,-1
1486,3247.5,3189.8,177.79,189.9,3,3,50,50,-1
1487,3132.3,3124.4,180.71,186.74,3,3,50,50,-1
1488,3117.8,3120.4,183.4,175.19,3,3,50,50,-1
1489,2912.0,3221.0,171.23,196.23,3,3,50,50,-1
1490,3050.6,3136.7,172.37,184.0,3,3,50,50,-1
1491,3241.2,3126.4,182.38,172.88,3,3,50,50,-1
1492,3192.5,3164.2,181.07,176.1,3,3,50,50,-1
1493,3294.0,3020.4,180.71,174.26,3,3,50,50,-1
1494,3200.0,3146.2,193.45,182.45,3,3,50,50,-1
1495,3149.8,2328.5,181.11,172.16,3,3,50,50,-1
1496,3104.2,3080.4,177.46,177.02,3,3,50,50,-1
1497,2295.3,3156.5,175.14,184.78,3,3,50,50,-1
1498,2378.1,2454.0,174.97,176.01,2,2,50,50,-1
1499,3180.0,3146.4,191.73,186.73,3,3,50,50,-1
1500,3240.8,3274.6,193.84,195.19,3,3,50,50,-1
1501,3325.4,3309.8,181.11,189.67,3,3,50,50,-1
1502,3079.4,3155.7,173.24,186.67,3,3,50,50,-1
1503,3232.9,3138.3,191.34,186.85,3,3,50,50,-1
1504,2281.8,3101.9,167.64,193.49,3,3,50,50,-1
1505,3135.9,3275.0,182.2,194.39,3,3,50,50,-1
1506,3222.7,3116.4,185.66,189.29,3,3,50,50,-1
1507,3249.8,3096.5,191.98,169.88,3,3,50,50,-1
1508,3197.4,3061.2,176.35,179.99,3,3,50,50,-1
1509,3334.4,2243.9,193.86,169.36,3,3,50,50,-1
1510,3191.7,3195.7,193.5,181.73,3,3,50,50,-1
1511,3083.7,3115.4,189.63,183.92,3,3,50,50,-1
1512,3115.7,3042.8,179.21,180.71,3,3,50,50,-1
1513,3305.5,3166.7,200.66,180.72,3,3,50,50,-1
1514,3049.0,2388.1,181.23,174.44,3,3,50,50,-1
1515,3075.0,3176.1,176.22,188.56,3,3,50,50,-1
1516,2345.5,2349.3,175.48,169.18,2,3,50,50,-1
1517,3173.3,3140.5,184.02,194.14,3,3,50,50,-1
1518,3189.4,3146.5,178.7,182.74,3,3,50,50,-1
1519,2486.6,2480.8,177.32,176.28,2,2,50,50,-1
1520,3206.7,3289.4,181.48,192.95,3,3,50,50,-1
1521,2455.8,3055.3,172.88,179.81,3,3,50,50,-1
1522,2486.2,3175.8,176.46,189.44,3,3,50,50,-1
1523,3059.7,3142.2,179.28,177.75,3,3,50,50,-1
1524,3136.5,2315.7,187.35,173.49,3,3,50,50,-1
1525,3083.0,3113.1,179.5,178.53,3,3,50,50,-1
1526,3151.3,3200.7,187.26,183.92,3,3,50,50,-1
1527,3006.1,3224.2,177.08,191.5,3,3,50,50,-1
1528,3210.1,3065.7,187.08,182.04,3,3,50,50,-1
1529,2979.8,2300.0,177.36,174.96,3,3,50,50,-1
1530,3348.3,3023.7,191.36,172.79,3,3,50,50,-1
1531,2381.8,2377.6,174.51,170.05,3,3,50,50,-1
1532,3273.1,3156.0,186.43,176.78,3,3,50,50,-1
1533,3046.7,3216.0,176.32,180.97,3,3,50,50,-1
1534,3166.4,3134.0,188.09,192.91,3,3,50,50,-1
1535,3096.5,3200.9,172.64,186.74,3,3,50,50,-1
1536,2496.6,2330.3,179.93,173.65,3,3,50,50,-1
1537,3187.4,3193.4,184.58,179.43,3,3,50,50,-1
1538,3311.4,3167.1,182.35,196.43,3,3,50,50,-1
1539,2383.2,2320.1,173.72,172.06,3,2,50,50,-1
1540,3210.0,2362.0,179.67,175.15,3,2,50,50,-1
1541,2493.0,2476.7,178.16,178.15,3,3,50,50,-1
1542,3096.2,3041.7,176.93,173.82,3,3,50,50,-1
1543,3131.9,3117.5,186.33,178.0,3,3,50,50,-1
1544,3127.0,3225.2,178.44,187.27,3,3,50,50,-1
1545,2240.1,3130.3,170.13,179.32,3,3,50,50,-1
1546,3268.6,3120.4,186.19,182.94,3,3,50,50,-1
1547,2350.0,2264.7,174.85,170.23,3,3,50,50,-1
1548,3249.9,2388.7,179.35,175.12,3,2,50,50,-1
1549,3132.4,3228.6,179.0,194.06,3,3,50,50,-1
1550,3243.0,2385.0,183.96,177.4,3,2,50,50,-1
1551,3286.7,3188.7,189.92,181.64,3,3,50,50,-1
1552,3146.4,3084.7,176.03,177.29,3,3,50,50,-1
1553,3197.7,3220.9,180.18,183.52,3,3,50,50,-1
1554,3078.1,3164.8,177.94,182.8,3,3,50,50,-1
1555,3130.6,2383.0,178.27,174.45,3,2,50,50,-1
1556,2342.4,2463.6,176.04,177.37,3,3,50,50,-1
1557,2373.0,2355.8,177.84,176.26,3,3,50,50,-1
1558,3124.6,3101.4,179.72,185.69,3,3,50,50,-1
1559,2370.7,2387.0,168.1,177.37,2,2,50,50,-1
1560,2256.5,3221.3,164.86,190.5,3,3,50,50,-1
1561,2456.0,2477.6,175.89,173.76,2,3,50,50,-1
1562,3177.6,3181.8,187.39,185.09,3,3,50,50,-1
1563,2377.5,2266.2,173.69,173.95,3,3,50,50,-1
1564,2447.3,3185.6,176.58,181.87,2,3,50,50,-1
1565,3126.5,3188.4,181.12,177.89,3,3,50,50,-1
1566,3086.4,2319.8,181.34,173.52,3,2,50,50,-1
1567,3221.6,2384.1,175.33,177.04,3,3,50,50,-1
1568,2367.8,3124.1,177.19,180.3,2,3,50,50,-1
1569,3299.2,3142.0,192.94,182.02,3,3,50,50,-1
1570,2390.1,2384.4,173.58,175.8,3,3,50,50,-1
1571,3193.6,3203.5,179.1,192.91,3,3,50,50,-1
1572,3109.2,3244.6,180.51,175.87,3,3,50,50,-1
1573,3175.2,3110.6,183.59,181.51,3,3,50,50,-1
1574,3109.1,2360.2,177.55,175.51,3,2,50,50,-1
1575,2371.6,2392.6,177.13,172.2,3,3,50,50,-1
1576,2373.0,2282.6,170.2,166.42,2,2,50,50,-1
1577,2400.0,3094.8,178.04,178.89,3,3,50,50,-1
1578,3086.4,2394.3,176.26,175.56,3,3,50,50,-1
1579,2476.6,2318.2,177.61,172.24,2,2,50,50,-1
1580,2490.7,2322.1,169.68,173.81,3,3,50,50,-1
1581,3079.9,3283.1,178.48,186.5,3,3,50,50,-1
1582,2343.0,3174.1,171.01,183.21,2,3,50,50,-1
1583,3145.7,3135.3,180.35,174.29,3,3,50,50,-1
1584,3103.4,3123.1,177.44,178.33,3,3,50,50,-1
1585,3192.8,3337.9,186.19,190.74,3,3,50,50,-1
1586,2439.8,2468.4,174.41,176.66,2,2,50,50,-1
1587,2308.4,2282.5,175.7,167.53,2,2,50,50,-1
1588,3093.2,3136.1,177.0,183.85,3,3,50,50,-1
1589,3150.3,2398.6,179.62,174.8,3,2,50,50,-1
1590,2293.1,2395.6,170.08,170.11,2,2,50,50,-1
1591,2329.1,3184.7,167.39,185.19,3,3,50,50,-1
1592,2485.5,3125.2,175.18,180.2,3,3,50,50,-1
1593,3088.6,2245.7,171.03,167.7,3,3,50,50,-1
1594,2953.1,3108.0,173.48,169.57,3,3,50,50,-1
1595,3068.7,2293.9,173.35,170.89,3,3,50,50,-1
1596,3231.0,2300.0,174.46,170.09,3,3,50,50,-1
1597,2960.4,2241.8,174.94,160.24,3,3,50,50,-1
1598,3207.9,3137.1,179.63,177.46,3,3,50,50,-1
1599,3022.6,2943.3,166.66,165.36,3,3,50,50,-1
1600,2400.0,2237.0,167.91,162.96,2,2,50,50,-1
1601,3226.2,2306.3,179.14,172.77,3,2,50,50,-1
1602,3298.4,3261.3,179.2,170.32,3,3,50,50,-1
1603,3184.0,3116.0,174.89,181.97,3,3,50,50,-1
1604,3025.3,3101.7,159.0,157.01,3,3,50,50,-1
1605,2321.8,2342.3,174.97,174.68,2,2,50,50,-1
1606,3234.2,3160.0,182.44,178.32,3,3,50,50,-1
1607,3120.5,3138.4,177.92,174.97,3,3,50,50,-1
1608,3122.1,2486.5,171.88,168.1,3,3,50,50,-1
1609,3249.2,3222.8,178.55,180.22,3,3,50,50,-1
1610,3188.0,3218.5,173.22,182.62,3,3,50,50,-1
1611,3170.8,2473.3,180.88,177.35,3,3,50,50,-1
1612,3223.8,2311.5,183.95,176.56,3,3,50,50,-1
1613,3086.9,2387.2,177.39,177.96,3,3,50,50,-1
1614,3239.4,3130.7,185.09,175.91,3,3,50,50,-1
1615,3154.1,3193.5,184.39,181.19,3,3,50,50,-1
1616,2492.1,3120.9,176.7,180.39,3,3,50,50,-1
1617,3135.8,3147.2,175.11,182.92,3,3,50,50,-1
1618,3140.4,3191.7,175.88,177.2,3,3,50,50,-1
1619,3197.2,3127.4,172.09,174.03,3,3,50,50,-1
1620,3236.7,3130.2,188.78,182.89,3,3,50,50,-1
1621,3211.3,3052.0,173.52,176.0,3,3,50,50,-1
1622,3166.4,3142.6,175.18,181.95,3,3,50,50,-1
1623,3297.1,3285.9,190.49,193.61,3,3,50,50,-1
1624,3130.2,3194.0,185.93,166.74,3,3,50,50,-1
1625,3138.7,2346.8,177.93,167.72,3,3,50,50,-1
1626,3222.5,3139.3,176.12,171.7,3,3,50,50,-1
1627,3142.9,3096.1,189.06,187.76,3,3,50,50,-1
1628,2384.3,2399.7,176.6,174.73,3,2,50,50,-1
1629,3227.0,3126.6,181.59,186.39,3,3,50,50,-1
1630,3105.9,3132.9,180.65,184.83,3,3,50,50,-1
1631,2381.1,3066.2,172.76,178.43,2,3,50,50,-1
1632,2374.3,3130.0,174.89,180.84,3,3,50,50,-1
1633,2366.2,3146.9,176.76,178.64,3,3,50,50,-1
1634,2320.8,2279.6,169.43,168.97,3,3,50,50,-1
1635,2355.8,3168.5,171.47,181.3,3,3,50,50,-1
1636,2392.7,2350.0,175.39,174.81,2,2,50,50,-1
1637,3211.7,3211.6,189.16,189.43,3,3,50,50,-1
1638,2293.4,2429.5,174.74,176.27,2,2,50,50,-1
1639,3182.0,2436.1,182.37,174.19,3,2,50,50,-1
1640,3156.1,2500.0,188.25,179.95,3,3,50,50,-1
1641,2345.7,3332.2,170.72,170.58,3,3,50,50,-1
1642,3122.3,3226.3,174.85,181.38,3,3,50,50,-1
1643,3171.3,3150.0,185.2,177.18,3,3,50,50,-1
1644,2328.6,2385.7,172.42,172.05,2,2,50,50,-1
1645,3087.4,3064.7,173.91,174.43,3,3,50,50,-1
1646,2307.1,3191.1,162.26,170.61,2,3,50,50,-1
1647,2397.7,3159.4,175.84,183.12,2,3,50,50,-1
1648,3177.7,3183.1,196.65,185.2,3,3,50,50,-1
1649,3104.8,3077.1,185.59,174.92,3,3,50,50,-1
1650,3192.7,3189.9,179.14,183.8,3,3,50,50,-1
1651,3153.9,2386.9,177.5,171.23,3,3,50,50,-1
1652,3104.9,2968.6,178.16,176.05,3,3,50,50,-1
1653,3150.0,3132.0,181.31,181.12,3,3,50,50,-1
1654,3014.0,2311.9,175.42,172.6,3,2,50,50,-1
1655,3055.8,3133.6,179.47,184.41,4,4,50,50,-1
1656,2375.4,3049.3,173.33,173.98,2,3,50,50,-1
1657,2922.1,2389.2,175.37,173.3,3,2,50,50,-1
1658,3039.1,3281.1,175.07,178.69,3,3,50,50,-1
1659,3149.9,3144.7,181.48,172.24,3,3,50,50,-1
1660,2388.7,3335.0,172.69,177.49,2,3,50,50,-1
1661,3382.8,3203.9,182.36,176.58,3,3,50,50,-1
1662,2241.0,3121.1,171.28,170.94,3,3,50,50,-1
1663,3039.9,3119.0,174.99,178.8,3,3,50,50,-1
1664,2398.1,2489.1,172.44,172.54,3,2,50,50,-1
1665,2377.7,2456.3,167.56,176.68,2,2,50,50,-1
1666,3043.2,3065.2,180.29,179.25,3,3,50,50,-1
1667,3270.5,3226.8,183.46,182.89,3,3,50,50,-1
1668,3092.2,3271.0,173.92,187.6,3,3,50,50,-1
1669,2362.9,3146.0,175.86,178.85,3,3,50,50,-1
1670,2288.0,2299.2,176.82,172.68,2,2,50,50,-1
1671,3014.8,2391.6,179.9,174.83,3,2,50,50,-1
1672,2394.0,2352.8,177.42,177.05,2,2,50,50,-1
1673,3172.3,3125.2,187.2,183.78,3,3,50,50,-1
1674,2397.0,3311.6,177.29,184.02,3,3,50,50,-1
1675,3122.3,2473.4,183.74,178.18,3,3,50,50,-1
1676,3210.8,3019.0,181.37,177.9,3,3,50,50,-1
1677,3187.3,3142.7,182.18,182.99,3,3,50,50,-1
1678,3193.5,3134.0,183.96,185.87,3,3,50,50,-1
1679,2384.9,3156.2,177.34,173.69,3,3,50,50,-1
1680,3184.5,3006.2,179.26,172.08,3,3,50,50,-1
1681,3134.1,3123.2,180.55,173.46,3,3,50,50,-1
1682,3095.6,3171.4,168.41,185.15,3,3,50,50,-1
1683,3181.0,3124.6,184.46,173.52,3,3,50,50,-1
1684,3360.0,2326.5,178.77,169.32,3,3,50,50,-1
1685,2298.6,2400.0,166.77,166.06,3,2,50,50,-1
1686,3208.6,3264.4,185.97,181.49,3,3,50,50,-1
1687,3132.6,3239.4,178.43,188.69,3,3,50,50,-1
1688,3136.7,3097.4,189.45,180.81,3,3,50,50,-1
1689,3139.9,2332.0,179.34,165.67,3,3,50,50,-1
1690,3119.6,3146.0,191.28,184.49,3,3,50,50,-1
1691,3117.5,3176.9,178.52,188.07,3,3,50,50,-1
1692,3270.9,3205.3,186.69,183.87,3,3,50,50,-1
1693,3079.2,3112.7,183.34,176.92,3,3,50,50,-1
1694,2290.9,2239.2,158.59,148.43,2,3,50,50,-1
1695,3285.9,3230.6,192.7,194.9,3,3,50,50,-1
1696,2393.2,3239.0,173.3,180.5,3,3,50,50,-1
1697,3011.7,3162.0,175.12,171.19,3,3,50,50,-1
1698,3205.4,3226.7,186.79,179.87,3,3,50,50,-1
1699,3075.6,3138.3,182.97,181.02,3,3,50,50,-1
1700,3087.0,3099.0,180.31,175.98,3,3,50,50,-1
1701,3280.7,3123.2,180.41,176.65,3,3,50,50,-1
1702,3101.1,3060.3,180.69,174.16,3,3,50,50,-1
1703,3163.9,2386.0,184.21,170.9,3,3,50,50,-1
1704,3329.3,3954.5,204.6,196.04,4,4,50,50,-1
1705,3200.2,3064.1,185.77,176.77,3,3,50,50,-1
1706,3206.6,3119.7,175.04,176.38,3,3,50,50,-1
1707,3181.2,3057.1,211.7,178.9,3,3,50,50,-1
1708,3149.7,3130.8,186.76,188.67,3,3,50,50,-1
1709,3093.6,3230.1,185.15,184.25,3,3,50,50,-1
1710,3205.9,3161.8,184.77,177.83,3,3,50,50,-1
1711,3129.0,3255.1,189.21,209.16,3,3,50,50,-1
1712,3159.9,3250.0,188.93,183.89,3,3,50,50,-1
1713,3994.6,3219.5,201.23,193.15,4,3,50,50,-1
1714,4148.6,4112.5,246.2,213.75,4,4,50,50,-1
1715,4101.1,4025.8,221.91,221.6,4,4,50,50,-1
1716,3292.4,3290.9,202.78,219.27,3,3,50,50,-1
1717,3181.7,3206.8,188.69,192.02,3,4,50,50,-1
1718,3309.5,3336.0,191.07,192.33,4,4,50,50,-1
1719,4026.7,3185.8,216.98,200.69,4,3,50,50,-1
1720,3288.5,3380.4,214.01,210.16,3,3,50,50,-1
1721,4038.6,3294.7,214.49,220.61,4,4,50,50,-1
1722,3366.7,3279.3,222.88,209.21,3,3,50,50,-1
1723,4121.1,4019.4,237.57,218.03,4,4,50,50,-1
1724,3230.8,3303.7,211.05,199.83,4,4,50,50,-1
1725,3893.0,4033.1,224.99,218.31,4,4,50,50,-1
1726,4146.9,3953.9,203.43,216.97,4,4,50,50,-1
1727,4138.9,4065.8,236.13,207.5,4,4,50,50,-1
1728,4144.2,3955.9,206.6,198.82,4,4,50,50,-1
1729,3973.7,3951.9,221.37,226.02,4,4,50,50,-1
1730,4067.3,3215.0,232.77,198.14,4,3,50,50,-1
1731,3227.8,3283.5,186.25,192.04,3,3,50,50,-1
1732,3225.4,3209.5,201.51,184.95,3,3,50,50,-1
1733,3334.2,3350.0,227.83,228.05,4,3,50,50,-1
1734,3338.6,3289.6,196.81,184.43,3,3,50,50,-1
1735,3194.3,3330.1,213.92,195.16,3,3,50,50,-1
1736,3221.4,3324.7,221.87,212.06,3,3,50,50,-1
1737,3077.8,3230.3,178.2,197.22,3,3,50,50,-1
1738,3345.9,3222.6,215.22,186.9,3,3,50,50,-1
1739,3428.6,3395.1,195.19,186.19,3,3,50,50,-1
1740,4155.4,4148.3,212.14,196.6,4,4,50,50,-1
1741,3283.1,3138.0,197.28,178.72,3,3,50,50,-1
1742,4138.3,4031.6,222.19,212.11,4,4,50,50,-1
1743,3303.3,3337.2,218.58,218.35,3,3,50,50,-1
1744,4071.0,4107.3,241.29,231.42,4,4,50,50,-1
1745,4055.7,3294.8,216.14,202.84,4,4,50,50,-1
1746,3290.5,4135.8,225.21,216.66,3,4,50,50,-1
1747,4060.2,4103.4,214.57,224.28,4,4,50,50,-1
1748,4062.7,3252.8,198.88,187.31,4,4,50,50,-1
1749,4091.8,4202.8,234.95,228.02,4,4,50,50,-1
1750,4116.7,4074.6,219.89,205.0,4,4,50,50,-1
1751,4144.7,4140.0,240.31,222.73,4,4,50,50,-1
1752,3394.1,4203.3,198.28,206.71,4,4,50,50,-1
1753,3167.4,3346.3,223.6,200.49,3,3,50,50,-1
1754,4093.3,3286.5,211.46,217.86,4,4,50,50,-1
1755,3266.9,3364.3,210.12,191.14,3,3,50,50,-1
1756,3322.7,3228.7,224.97,205.11,3,3,50,50,-1
1757,3131.7,3231.8,179.33,191.24,3,3,50,50,-1
1758,3272.6,3327.4,199.59,202.23,3,3,50,50,-1
1759,4135.2,3994.0,242.1,223.59,4,4,50,50,-1
1760,3386.5,3286.8,213.8,222.63,4,4,50,50,-1
1761,3145.8,3236.6,194.25,202.55,3,3,50,50,-1
1762,3219.3,3298.0,202.59,190.24,3,3,50,50,-1
1763,4105.1,3377.1,218.31,206.11,4,3,50,50,-1
1764,4075.0,3285.6,216.03,214.33,4,4,50,50,-1
1765,4123.6,3340.2,242.61,209.06,4,3,50,50,-1
1766,3284.6,4010.5,201.19,199.55,4,4,50,50,-1
1767,4045.3,4052.0,213.96,237.23,4,4,50,50,-1
1768,3884.8,3281.1,208.25,203.68,4,4,50,50,-1
1769,3387.5,3345.9,202.01,197.75,3,3,50,50,-1
