gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,winner
101,3216.7,2332.5,179.62,169.37,3,3,50,50,-1
102,3136.6,3172.3,170.63,168.43,3,3,50,50,-1
103,2335.0,2344.9,162.48,164.22,2,2,50,50,-1
104,2298.9,2348.9,162.23,163.62,2,2,50,50,-1
105,2379.1,2368.8,177.58,164.42,2,3,50,50,-1
106,2368.4,2368.4,171.87,170.3,2,2,50,50,-1
107,2472.7,2322.7,170.28,162.4,2,2,50,50,-1
108,2388.9,2332.3,168.35,164.97,2,3,50,50,-1
109,2387.9,2237.9,163.43,158.03,2,2,50,21,-1
110,3136.9,2386.9,176.75,170.95,3,2,50,50,-1
111,2341.5,2491.5,172.92,175.72,2,2,21,50,-1
112,2287.6,2387.6,176.61,176.81,3,3,50,50,-1
113,2393.6,2393.6,178.89,177.69,2,2,21,50,-1
114,2400.0,2500.0,178.6,171.2,2,2,20,20,-1
115,2333.0,2333.0,173.84,168.24,2,2,49,24,-1
116,2329.0,2229.0,171.52,172.32,3,2,50,21,-1
117,2389.5,2339.5,167.76,170.96,2,2,50,23,-1
118,2386.4,2386.4,181.11,173.61,2,2,50,25,-1
119,2392.8,2342.8,161.85,163.64,2,2,20,20,-1
120,2361.9,2361.9,163.62,172.17,2,2,50,36,-1
121,2285.2,2235.2,174.1,169.02,2,2,22,21,-1
122,2354.4,2312.7,176.83,171.24,2,2,50,50,-1
123,3210.6,3210.6,171.15,171.29,3,3,50,50,-1
124,2352.6,2352.6,173.89,173.61,2,2,50,50,-1
125,2462.1,2362.1,171.39,164.93,3,3,50,50,-1
126,2397.5,3140.6,175.09,179.82,3,3,50,50,-1
127,3148.8,3231.6,183.45,179.5,3,3,50,50,-1
128,3268.6,3118.6,185.95,175.62,3,3,50,50,-1
129,3123.5,3223.5,183.42,183.2,3,3,50,50,-1
130,2382.4,2432.4,176.26,170.24,2,2,50,25,-1
131,2338.2,3138.2,176.73,178.89,3,3,50,50,-1
132,3136.0,3286.0,180.48,185.28,3,3,50,50,-1
133,3188.0,3188.0,182.49,184.89,3,3,50,50,-1
134,3138.4,3188.4,172.71,172.87,3,3,50,50,-1
135,2486.6,2386.6,167.96,177.73,3,2,50,37,-1
136,2396.6,2396.6,176.53,176.13,2,2,50,50,-1
137,2439.2,2289.2,169.58,175.14,3,3,50,50,-1
138,2385.5,2335.5,166.64,173.09,3,2,50,20,-1
139,2292.3,2342.3,169.38,173.98,2,3,50,50,-1
140,3148.4,3198.4,179.87,179.47,3,3,50,50,-1
141,2338.3,2388.3,158.06,171.86,2,2,20,50,-1
142,2439.1,2339.1,173.13,172.17,2,2,47,50,-1
143,2286.7,2486.7,171.74,181.94,2,2,32,50,-1
144,2344.5,2494.5,164.96,179.36,2,2,50,50,-1
145,2393.8,2443.8,170.5,165.33,2,2,50,50,-1
146,2337.9,2337.9,176.23,176.88,2,2,50,50,-1
147,2288.1,2388.1,165.65,169.5,2,2,50,50,-1
148,2493.0,2293.0,175.05,176.44,2,2,50,50,-1
149,2436.1,2436.1,175.94,175.69,2,2,50,50,-1
150,2394.9,2344.9,172.39,177.61,2,2,50,50,-1
151,2396.6,2496.6,173.53,175.54,2,2,50,50,-1
152,2486.4,2396.2,175.97,175.18,2,2,50,50,-1
153,3135.8,3135.8,181.39,179.74,3,3,50,50,-1
154,2338.4,2349.9,173.33,160.97,2,2,26,50,-1
155,3133.5,2333.5,181.95,171.72,3,2,50,50,-1
156,2386.4,2336.4,175.8,171.22,2,2,50,50,-1
157,3124.9,2374.9,179.3,175.59,3,2,50,50,-1
158,3130.1,2480.1,180.63,163.21,3,3,23,39,-1
159,2477.9,2477.9,176.3,179.69,2,2,50,50,-1
160,3179.8,2385.2,175.98,175.95,3,3,50,50,-1
161,3125.4,3240.4,179.25,180.17,3,3,50,50,-1
162,2374.5,2374.5,167.08,175.09,2,2,50,50,-1
163,2386.1,2486.1,169.21,172.08,3,3,50,50,-1
164,2282.6,2381.7,170.02,170.49,2,2,50,50,-1
165,2379.1,2392.0,168.25,174.95,2,2,50,32,-1
166,2376.1,2326.1,152.37,155.71,2,2,50,50,-1
167,3129.0,2283.6,174.5,147.28,3,2,50,22,-1
168,2260.2,2460.2,156.9,154.73,2,2,50,50,-1
169,2331.9,3231.1,160.48,170.9,2,3,50,50,-1
170,2376.3,3126.3,156.73,170.98,3,3,50,50,-1
171,3215.4,2365.4,169.62,154.91,3,2,50,50,-1
172,2336.0,3240.2,151.82,175.56,2,3,50,50,-1
173,3114.7,3114.7,172.79,162.18,3,3,50,50,-1
174,2318.4,2368.4,160.35,165.52,2,2,50,50,-1
175,3172.2,3134.1,168.3,175.35,3,3,50,50,-1
176,2472.2,3122.2,170.41,172.66,3,3,50,50,-1
177,3218.5,2321.1,176.88,162.55,3,2,50,50,-1
178,2436.3,3210.0,168.06,177.0,2,3,50,50,-1
179,3150.0,2480.6,168.81,177.55,3,2,50,50,-1
180,3218.8,2390.6,172.34,167.61,3,2,50,50,-1
181,2340.4,2240.4,159.07,155.53,2,2,23,23,-1
182,2425.1,2475.1,160.45,160.33,2,2,26,50,-1
183,2323.5,2235.2,171.61,160.85,2,2,50,50,-1
184,2280.0,2337.5,161.61,171.97,2,2,50,50,-1
185,3150.0,2370.0,183.03,171.06,3,2,50,50,-1
186,3233.5,3122.7,165.42,183.24,3,3,50,50,-1
187,3124.5,3244.4,171.57,169.25,3,3,50,50,-1
188,2390.9,2321.7,174.37,174.32,2,2,50,50,-1
189,2328.8,2390.5,171.57,172.76,2,2,50,50,-1
190,3143.5,2334.1,179.71,164.54,3,2,50,50,-1
191,2492.1,2335.6,157.57,170.78,2,2,50,50,-1
192,2340.9,2334.9,161.89,155.27,2,2,50,50,-1
193,2385.9,2335.9,154.97,156.8,2,2,50,50,-1
194,2328.7,2328.7,157.64,163.58,2,2,50,20,-1
195,2313.3,2313.3,144.94,155.81,2,2,50,29,-1
196,2397.4,2376.7,145.57,166.19,2,2,50,50,-1
197,2277.2,2477.2,151.25,157.67,2,2,21,50,-1
198,2358.3,2358.3,155.78,159.03,2,2,50,50,-1
199,2422.6,2422.6,154.11,151.39,2,2,47,50,-1
200,2383.8,2400.0,155.51,146.77,2,2,24,25,-1
201,2341.5,2341.5,144.72,142.12,3,2,50,50,-1
202,2334.3,2384.3,152.8,147.94,2,2,50,50,-1
203,2291.4,2391.4,149.31,154.51,2,2,50,50,-1
204,2389.2,2389.2,163.98,159.94,2,2,50,50,-1
205,2290.5,2390.5,153.49,160.24,2,2,50,50,-1
206,2393.7,2393.7,166.9,160.3,2,2,50,50,-1
207,2391.9,2491.9,155.35,158.55,2,2,50,50,-1
208,2388.0,2288.0,169.86,170.04,2,2,50,50,-1
209,3190.6,3140.6,172.26,176.49,3,3,50,50,-1
210,3140.6,2440.6,165.25,160.65,3,3,50,50,-1
211,2389.0,3139.0,168.72,155.55,2,3,50,50,-1
212,2388.5,2288.5,167.28,165.9,2,2,50,50,-1
213,3137.9,2337.9,166.28,160.85,3,2,50,50,-1
214,2388.4,2388.4,158.12,163.87,2,2,50,50,-1
215,3148.9,2498.9,165.31,155.11,3,2,50,50,-1
216,2393.0,2393.0,168.48,165.08,2,2,50,50,-1
217,2345.9,2495.9,163.07,168.87,2,2,50,50,-1
218,2338.4,2288.4,164.47,171.32,2,2,50,50,-1
219,2297.4,2397.4,170.99,161.59,2,2,50,50,-1
220,2398.8,2398.8,176.7,175.1,2,2,50,50,-1
221,2488.4,3138.4,180.87,171.92,2,3,50,50,-1
222,2494.8,3244.8,166.78,172.02,2,3,50,50,-1
223,2488.0,2391.6,172.3,169.25,3,3,50,50,-1
224,2387.4,2337.4,168.19,169.08,2,2,50,50,-1
225,2349.4,3137.9,163.96,170.83,3,3,50,50,-1
226,3181.5,2481.5,172.79,157.77,3,3,50,50,-1
227,2391.3,2286.3,156.92,158.95,2,2,50,50,-1
228,2286.9,2386.9,150.41,153.66,2,2,50,50,-1
229,2388.8,2400.0,155.52,167.6,2,3,50,50,-1
230,2390.4,2490.4,157.48,161.48,2,2,50,50,-1
231,2294.0,2373.9,165.97,167.84,2,2,50,50,-1
232,2389.5,2389.5,163.81,166.0,3,3,50,50,-1
233,2336.2,3286.2,173.39,184.04,2,3,50,50,-1
234,2390.0,2390.0,173.61,174.45,2,2,50,50,-1
235,2386.5,3193.2,177.97,186.79,3,3,50,50,-1
236,2388.3,2388.3,176.06,178.46,2,2,50,50,-1
237,2394.5,3150.0,171.16,180.98,3,3,50,50,-1
238,2486.4,2386.4,176.39,178.15,3,3,50,50,-1
