gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,winner
1634,4715.0,4804.3,593.42,493.21,3,3,50,50,6,2,-1
1635,4128.2,4761.1,544.72,518.57,3,3,50,50,7,3,-1
1636,5100.6,3838.5,604.22,506.54,3,3,50,50,4,4,-1
1637,4940.1,4546.4,627.75,645.35,3,3,50,50,6,7,-1
1638,5276.7,5156.7,672.47,607.35,3,3,50,50,7,6,-1
1639,4782.4,3858.1,594.06,476.36,3,3,50,50,5,2,-1
1640,4984.4,4815.5,614.53,564.16,3,3,50,50,4,5,-1
1641,3833.6,4883.9,469.97,579.48,3,3,50,50,2,5,-1
1642,4945.8,4926.4,576.93,568.06,3,3,50,50,3,4,-1
1643,5525.0,3876.1,522.69,469.7,3,3,50,50,1,2,-1
1644,4808.7,4613.8,503.9,526.81,3,3,50,50,2,4,-1
1645,3920.1,5004.5,510.8,536.57,3,3,50,50,4,3,-1
1646,6412.8,5584.9,596.15,612.94,3,3,50,50,2,6,-1
1647,5568.5,5761.0,589.57,583.08,3,3,50,50,3,2,-1
1648,6142.6,5259.6,624.97,567.41,3,3,50,50,4,4,-1
1649,5002.9,5068.0,524.74,569.77,3,3,50,50,2,4,-1
1650,5411.2,5770.3,636.26,602.11,3,3,50,50,5,2,-1
1651,5190.2,5193.3,599.63,545.51,3,3,50,50,4,2,-1
1652,5913.9,5441.5,555.74,608.8,3,3,50,50,1,2,-1
1653,5101.9,4772.3,555.39,492.62,3,3,50,50,4,3,-1
1654,5355.5,6202.4,551.99,569.76,3,3,50,50,3,2,-1
1655,5951.2,5441.8,636.54,551.24,3,3,50,50,1,4,-1
1656,5009.1,5110.7,552.89,625.42,3,3,50,50,3,6,-1
1657,5251.8,5593.5,724.8,664.05,3,3,50,50,10,3,-1
1658,4558.3,4408.1,543.03,542.84,3,3,50,50,4,5,-1
1659,5169.6,6174.9,630.26,514.01,3,3,50,50,5,1,-1
1660,4630.5,4947.4,485.34,530.38,3,3,50,50,2,2,-1
1661,4893.6,5168.7,590.04,539.48,4,3,50,50,7,3,-1
1662,5465.9,4512.6,556.73,479.17,3,3,50,50,2,2,-1
1663,5537.3,5155.0,739.0,604.26,3,3,50,50,7,5,-1
1664,4568.5,4136.2,508.01,479.32,3,3,50,50,2,2,-1
1665,4064.7,4829.5,498.24,555.89,3,3,50,50,4,4,-1
1666,5685.0,3632.7,538.34,474.32,3,3,50,50,2,3,-1
1667,4632.6,4258.8,572.12,503.2,3,3,50,50,4,3,-1
1668,5289.4,4705.3,572.9,507.0,3,3,50,50,3,1,-1
1669,5061.9,5429.0,512.82,618.6,3,3,50,50,3,2,-1
1670,4545.7,4304.7,531.99,475.37,3,3,50,50,4,2,-1
1671,5626.7,5807.8,547.35,717.56,3,3,50,50,1,5,-1
1672,4610.6,4345.6,522.02,547.56,3,3,50,50,3,6,-1
1673,4910.1,4387.7,522.85,493.3,3,3,50,50,2,3,-1
1674,5258.1,5398.6,583.6,579.88,3,3,50,50,3,4,-1
1675,4331.3,5010.4,545.24,547.65,3,3,50,50,5,3,-1
1676,4325.0,4683.0,523.97,524.42,3,3,50,50,5,3,-1
1677,4401.4,4328.8,494.03,507.73,3,3,50,50,1,4,-1
1678,5888.6,4400.9,719.02,608.79,3,3,50,50,4,10,-1
1679,5211.2,5395.0,637.41,582.51,3,3,50,50,5,3,-1
1680,5164.3,4714.3,595.08,578.34,3,3,50,50,4,5,-1
1681,6705.2,6114.2,604.34,708.58,3,3,50,50,1,1,-1
1682,5877.0,5499.7,604.25,623.84,3,3,50,50,2,4,-1
1683,4861.1,4132.1,555.48,520.08,3,3,50,50,4,4,-1
1684,4830.8,4044.3,602.21,488.12,3,3,50,50,5,4,-1
1685,6182.7,5453.5,769.62,594.72,3,3,50,50,4,4,-1
1686,5745.0,5136.2,632.22,644.54,3,3,50,50,3,6,-1
1687,5069.4,5324.1,539.97,657.79,3,3,50,50,1,4,-1
1688,4764.2,5619.2,539.57,605.46,3,3,50,50,4,1,-1
1689,4689.4,4379.9,641.13,542.02,3,3,50,50,10,6,-1
1690,4998.8,5384.4,639.41,655.16,3,3,50,50,7,5,-1
1691,5145.0,4231.8,618.6,520.55,4,3,50,50,4,4,-1
1692,4858.8,5644.2,558.46,589.34,3,3,50,50,3,2,-1
1693,4792.1,4704.1,573.36,511.46,3,3,50,50,4,3,-1
1694,4591.1,4796.8,528.66,606.25,3,3,50,50,4,6,-1
1695,5156.1,5059.0,561.11,558.4,3,3,50,50,4,3,-1
1696,4214.1,4729.8,532.56,581.72,3,3,50,50,5,6,-1
1697,4345.1,5344.1,553.02,584.74,3,3,50,50,7,5,-1
1698,5014.2,4378.6,558.91,518.02,3,3,50,50,3,4,-1
1699,4317.2,4062.6,534.49,483.74,3,3,50,50,5,2,-1
1700,4809.8,4131.9,584.07,520.07,3,3,50,50,6,5,-1
1701,5018.9,4409.1,560.29,527.92,3,3,50,50,4,5,-1
1702,4776.5,4207.2,567.24,517.87,3,3,50,50,2,4,-1
1703,4076.6,4270.1,533.33,531.58,3,3,50,50,6,5,-1
1704,4410.2,4354.6,537.62,518.94,3,3,50,50,5,4,-1
1705,2480.6,4221.4,457.34,508.72,3,3,50,50,10,4,-1
1706,4783.3,3899.4,548.34,485.49,3,3,50,50,4,3,-1
1707,4322.3,3897.4,535.6,488.15,3,3,50,50,5,3,-1
1708,4238.2,4295.7,503.86,524.81,3,3,50,50,3,5,-1
1709,4557.7,4210.7,573.57,552.92,3,3,50,50,6,6,-1
1710,4940.7,4668.0,534.5,523.8,3,3,50,50,3,3,-1
1711,4011.1,3731.1,482.93,468.57,3,3,50,50,2,1,-1
1712,4533.8,3874.7,495.87,485.91,3,3,50,50,3,2,-1
1713,5002.8,4429.1,591.63,556.63,3,3,50,50,1,5,-1
1714,4069.4,2474.9,500.34,456.98,3,3,50,50,3,10,-1
1715,4086.2,4214.0,496.55,510.97,3,3,50,50,3,4,-1
