gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,teammates_reach,winner
0,4484.375,4262.5,17.62,34.81,2,2,50,50,2,4,40,10,6676,3550,0,733,238,201,2,1317,-1
1,4783.3,4930.425,249.91,199.21,2,2,50,50,18,11,40,47,5009,2811,0,441,463,1025,0,906,-1
2,4847.575,5008.95,492.05,442.31,2,2,50,50,33,25,40,63,2729,1089,0,766,598,1417,0,2145,-1
3,4927.65,4999.325,659.68,648.01,2,2,50,50,45,42,40,43,2910,1466,0,761,627,1240,0,2541,-1
4,4927.65,4999.325,819.6,811.63,2,2,50,50,54,53,40,48,3233,1893,0,894,584,1637,2,2630,-1
5,9192.7,9817.0,990.89,1026.34,3,3,50,50,1,2,40,67,3118,2274,0,963,548,1342,0,3804,-1
6,9192.7,9817.0,1080.98,1099.28,2,2,50,50,1,2,40,44,9603,3985,0,425,501,272,0,491,-1
7,9192.7,9817.0,1164.02,1235.15,2,2,50,50,1,2,40,58,8567,4153,0,650,361,432,2,1520,-1
8,9192.7,9817.0,1222.33,1320.8,2,2,50,50,1,2,40,48,9764,5699,0,94,29,451,1,2036,-1
9,9192.7,9817.0,1210.94,1389.45,2,2,50,50,1,2,40,54,10451,4350,0,336,321,374,0,1550,-1
10,9192.7,9817.0,1022.56,1311.57,2,2,50,30,1,2,20,6,9640,4256,0,58,1,1,0,179,-1
11,9192.7,9817.0,1002.47,1349.48,2,2,50,50,1,2,40,34,7744,4881,0,469,27,286,0,2406,-1
12,9192.7,9817.0,966.5,1386.3,2,2,50,50,1,1,40,24,7948,2867,0,1742,421,73,0,659,-1
13,9192.7,5054.6,1033.98,1381.59,2,2,50,50,1,60,40,43,6391,4550,0,2153,352,490,0,2120,-1
14,9192.7,5054.6,952.81,1245.67,2,2,31,30,1,60,1,18,5780,5249,0,561,212,56,0,286,-1
15,9192.7,5054.6,806.82,1036.4,2,2,30,30,1,60,0,14,6662,6407,0,249,66,26,0,159,-1
16,9192.7,5054.6,711.51,899.78,2,2,30,30,1,57,0,14,5352,5229,0,349,139,148,0,1065,-1
