gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,unuseful_drops,winner
4517,3506.8,3535.8,2352.27,2353.12,3,3,50,50,18,20,60,84,47,7,1029,-1
4518,3506.8,3535.8,2350.47,2358.69,3,3,50,50,18,22,60,88,28,26,760,-1
4519,3506.8,3535.8,2351.47,2378.24,3,3,50,50,18,25,60,83,36,70,777,-1
4520,3506.8,3535.8,2342.61,2372.81,3,3,50,50,17,25,60,80,146,19,1213,-1
4521,3506.8,3535.8,2341.85,2380.57,3,3,50,50,16,25,60,84,41,28,804,-1
4522,3506.8,3535.8,2340.0,2380.45,3,3,50,50,16,23,60,84,39,30,954,-1
4523,3506.8,3535.8,2334.57,2391.72,3,3,50,50,15,25,60,82,65,25,1253,-1
4524,3506.8,3535.8,2338.64,2388.03,3,3,50,50,17,24,60,71,94,34,1034,-1
4525,3506.8,3535.8,2325.88,2398.82,3,3,50,50,15,25,60,86,30,19,835,-1
4526,3506.8,3535.8,2325.35,2387.63,2,2,50,50,13,25,60,78,23,0,771,-1
4527,3506.8,3535.8,2328.95,2385.82,3,3,50,50,15,25,60,85,78,43,798,-1
4528,3506.8,3535.8,2331.79,2383.81,3,3,50,50,16,25,60,85,36,1,658,-1
4529,3506.8,3535.8,2334.53,2383.34,3,3,50,50,17,24,60,81,33,18,597,-1
4530,3506.8,3535.8,2333.61,2389.23,3,3,50,50,18,25,60,86,28,9,794,-1
4531,3506.8,3535.8,2319.36,2393.08,3,3,50,50,16,25,60,83,35,33,700,-1
4532,3506.8,3535.8,2316.04,2392.38,3,3,50,50,15,25,60,86,30,24,1104,-1
4533,3413.7,3535.8,2323.19,2384.86,3,3,50,50,25,25,60,85,40,46,966,-1
4534,3413.7,3535.8,2325.79,2384.98,3,3,50,50,25,24,60,83,127,25,822,-1
4535,3413.7,3535.8,2323.91,2364.7,3,3,50,50,25,20,60,86,30,8,735,-1
4536,3505.0,3535.8,2326.9,2370.6,3,3,50,50,16,22,60,88,80,128,1004,-1
4537,3505.0,3535.8,2330.29,2366.15,3,3,50,50,15,21,60,79,39,52,929,-1
4538,3413.7,3535.8,2324.46,2363.47,3,3,50,50,25,20,60,78,137,26,1791,-1
4539,3413.7,3535.8,2324.45,2364.65,2,3,50,50,25,21,60,83,55,11,970,-1
4540,3328.7,3535.8,2318.86,2368.7,3,3,50,50,25,21,60,84,176,31,1091,-1
4541,3328.7,3535.8,2329.54,2364.33,3,3,50,50,25,21,60,92,62,30,1105,-1
4542,3328.7,3535.8,2332.77,2366.56,3,3,50,50,25,23,60,82,54,15,1191,-1
4543,3328.7,3535.8,2319.69,2365.53,2,3,50,50,25,22,60,78,71,1,1145,-1
4544,3293.2,3535.8,2317.97,2368.1,3,3,50,50,25,24,60,79,142,22,1075,-1
4545,3293.2,3535.8,2317.49,2367.03,3,3,50,50,25,23,60,85,71,26,1132,-1
4546,3695.0,3535.8,2343.07,2371.4,3,3,50,50,12,23,60,89,53,99,616,-1
4547,3695.0,3535.8,2343.87,2359.26,3,3,50,50,13,20,60,84,32,19,799,-1
4548,3695.0,3535.8,2344.34,2370.94,3,3,50,50,13,22,60,84,102,67,1333,-1
4549,3695.0,3535.8,2357.06,2376.89,3,3,50,50,15,22,60,91,108,122,1375,-1
4550,3695.0,3535.8,2350.44,2376.16,3,2,50,50,13,21,60,84,52,57,1112,-1
4551,3695.0,3512.7,2344.94,2356.84,3,3,50,50,13,18,60,83,59,14,1278,-1
4552,3695.0,3512.7,2336.55,2353.05,2,2,50,50,11,17,60,90,43,0,983,-1
4553,3695.0,3512.7,2340.83,2355.73,3,3,50,50,12,19,60,82,65,14,1010,-1
4554,3535.7,3585.8,2330.84,2365.59,3,3,50,50,13,19,60,86,84,14,1694,-1
4555,3535.7,3585.8,2330.03,2363.22,2,2,50,50,14,17,60,86,157,0,1303,-1
4556,3535.7,3585.8,2333.08,2366.1,3,3,50,50,15,18,60,83,118,11,1099,-1
4557,3535.7,3585.8,2327.94,2359.13,3,2,50,50,16,17,60,89,111,8,1574,-1
4558,3535.7,3585.8,2332.33,2347.82,3,3,50,50,17,15,60,88,115,90,1614,-1
4559,3535.7,3512.5,2335.05,2341.8,3,3,50,50,17,16,60,81,136,11,1757,-1
4560,3535.7,3512.5,2338.06,2350.23,2,3,50,50,16,17,60,82,167,12,1320,-1
4561,3535.7,3519.6,2345.89,2358.42,3,3,50,50,17,19,60,96,61,95,1452,-1
4562,3535.7,3519.6,2347.86,2346.11,3,3,50,50,17,16,60,83,76,73,1627,-1
4563,3448.4,3519.6,2349.97,2342.32,3,3,50,50,25,15,60,89,104,46,1750,-1
4564,3586.2,3519.6,2357.49,2348.33,3,3,50,50,16,16,60,84,104,77,1924,-1
4565,3586.2,3397.0,2353.88,2336.62,2,2,50,50,15,25,60,78,111,0,1724,-1
4566,3586.2,3397.0,2344.49,2333.92,2,2,50,50,12,25,60,87,107,0,2355,-1
4567,3586.2,3397.0,2352.22,2341.69,3,3,50,50,14,25,60,84,116,59,1882,-1
4568,3586.2,3548.7,2353.29,2345.13,3,3,50,50,15,13,60,87,125,8,1805,-1
4569,3586.2,3548.7,2350.76,2340.58,3,3,50,50,13,13,60,84,91,17,2085,-1
4570,3586.2,3397.0,2359.43,2335.23,3,3,50,50,13,25,60,89,121,20,1979,-1
4571,3586.2,3397.0,2353.79,2338.09,3,3,50,50,11,25,60,86,131,43,1914,-1
4572,3586.2,3397.0,2351.3,2338.21,3,3,50,50,11,25,60,91,145,157,1598,-1
4573,3586.2,3397.0,2358.15,2335.9,3,3,50,50,13,25,60,90,83,95,1665,-1
4574,3663.0,3397.0,2362.41,2345.61,3,3,50,50,15,25,60,84,103,80,1930,-1
4575,3663.0,3397.0,2363.9,2343.02,3,2,50,50,15,25,60,90,71,51,1509,-1
4576,3663.0,3397.0,2371.06,2349.6,3,3,50,50,16,25,60,92,69,44,1470,-1
4577,3663.0,3397.0,2363.82,2340.61,3,2,50,50,14,25,60,84,125,20,1933,-1
4578,3663.0,3384.3,2361.34,2331.41,2,2,50,50,14,25,60,88,132,0,1853,-1
4579,3586.2,3384.3,2351.44,2343.67,3,3,50,50,11,25,60,94,87,64,1671,-1
4580,3586.2,3518.2,2349.83,2337.01,3,3,50,50,10,11,60,87,108,23,1988,-1
4581,3586.2,3518.2,2347.26,2335.08,3,3,50,50,9,11,60,86,70,19,1624,-1
4582,3586.2,3518.2,2338.45,2340.64,3,3,50,50,8,13,60,88,84,31,1653,-1
4583,3586.2,3518.2,2346.53,2345.23,3,3,50,50,11,15,60,82,88,92,1719,-1
4584,3586.2,3518.2,2338.96,2344.35,3,3,50,50,10,15,60,84,134,6,2179,-1
4585,3586.2,3518.2,2342.47,2357.0,3,3,50,50,11,18,60,92,110,71,1871,-1
4586,3586.2,3518.2,2351.36,2355.88,3,3,50,50,13,18,60,88,187,117,1976,-1
4587,3586.2,3518.2,2347.32,2359.34,3,2,50,50,11,18,60,87,131,7,2342,-1
4588,3586.2,3518.2,2345.29,2358.2,3,3,50,50,11,18,60,83,185,39,1882,-1
