gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,winner
0,2021.0,2076.0,1128.38,1253.03,2,2,-1
1,2022.1,2097.1,1483.27,1721.27,2,2,-1
2,2999.0,3069.1,1928.63,1746.31,3,3,-1
3,3049.0,3044.0,1946.52,1675.6,3,3,-1
4,2999.1,3059.1,2020.7,1889.67,3,3,-1
5,3024.5,2144.9,2041.5,1890.14,3,2,-1
6,3024.4,3079.4,2087.34,1963.39,3,3,-1
7,3014.0,2145.7,2106.1,1812.81,3,2,-1
8,3052.9,3062.9,2273.6,1957.64,3,3,-1
9,3019.7,3059.7,2112.1,2057.96,3,3,-1
10,3038.1,3073.1,2205.0,1985.28,3,3,-1
11,3017.8,3137.8,2090.3,2133.03,3,3,-1
12,2992.8,2972.8,2109.5,1874.27,3,3,-1
13,3038.6,2983.6,2300.7,1899.27,3,3,-1
14,3020.7,3183.5,2268.9,2079.38,3,3,-1
15,3023.8,3187.2,2162.1,2120.11,3,3,-1
16,3051.2,3196.2,2091.3,2132.74,3,3,-1
17,3016.5,3046.5,2109.2,2025.64,3,3,-1
18,3021.4,3056.4,2194.9,2092.56,3,3,-1
19,3006.5,3549.5,2171.1,2172.8,3,3,-1
20,3007.4,3670.3,2063.6,2275.7,3,3,-1
21,2978.2,3521.9,2094.2,2280.27,3,3,-1
22,2999.7,3511.7,2342.7,2250.56,3,3,-1
23,2961.0,3514.6,2021.1,2319.62,3,3,-1
24,2898.6,3768.8,2009.3,2437.9,3,3,-1
25,2947.1,3539.3,1985.2,2299.32,3,3,-1
26,1926.3,3924.1,1886.5,2549.2,2,3,-1
27,2882.5,4458.7,1955.15,2642.15,3,3,-1
28,2908.9,4167.3,1892.7,2522.6,3,3,-1
29,2875.5,3966.7,1957.5,2711.67,3,3,-1
30,2822.0,3985.3,1896.9,2722.47,3,3,-1
31,2657.1,6347.0,1758.6,3762.11,3,3,-1
32,2853.0,4239.7,1932.3,2603.21,3,3,-1
33,2898.1,3825.2,2029.43,2453.12,3,3,-1
34,2906.9,3502.8,2048.7,2406.72,3,3,-1
35,2879.5,4045.9,2028.0,2595.65,3,3,-1
36,3023.8,3082.2,2142.6,1980.51,3,3,-1
37,2996.2,3593.9,2091.7,2296.87,3,3,-1
38,2954.7,3733.5,2035.5,2473.11,3,3,-1
39,2996.6,3607.9,2266.3,2324.34,3,3,-1
40,3015.4,3025.4,2155.5,2118.45,3,3,-1
41,2983.6,3060.1,2101.7,2132.77,3,3,-1
42,2978.5,3179.2,2169.2,2186.72,3,3,-1
43,2966.0,3425.3,2143.8,2342.76,3,3,-1
44,2950.9,3418.3,2107.42,2267.42,3,3,-1
45,3041.5,3166.6,2198.0,2274.34,3,3,-1
46,3025.6,3266.9,2153.15,2218.98,3,3,-1
47,3051.5,2522.1,2286.7,2118.26,3,2,-1
48,2975.3,3191.2,2215.85,2204.4,3,3,-1
49,2939.8,3383.4,2116.47,2522.15,3,3,-1
50,2989.6,3180.3,2215.78,2190.52,3,3,-1
51,2926.0,3477.1,2092.6,2388.36,3,3,-1
52,2936.3,3553.2,1989.5,2218.71,3,3,-1
53,3007.6,2345.3,2217.84,2084.33,3,2,-1
54,2978.5,3800.6,2072.31,2626.14,3,3,-1
55,2872.6,3778.2,2084.92,2619.02,3,3,-1
56,3152.6,3555.0,2098.71,2453.2,3,3,-1
57,3009.3,3517.9,2048.08,2277.1,3,3,-1
58,3129.4,2671.5,2170.46,2241.63,3,2,-1
59,3029.5,4172.8,2039.61,2537.65,3,3,-1
60,3080.0,4563.1,2139.3,2817.91,3,3,-1
61,2912.3,4818.1,1941.88,3094.85,3,3,-1
62,2925.9,4946.5,1902.15,3311.19,3,3,-1
63,3140.8,3872.4,2214.0,2729.18,3,3,-1
64,3284.5,4720.9,2187.4,3148.93,3,3,-1
65,3105.5,4183.0,2352.51,3047.99,3,3,-1
66,3200.4,4425.5,2208.02,2840.46,3,3,-1
67,3258.5,3905.4,2364.82,2496.74,3,3,-1
68,3598.3,5540.5,2681.83,3443.49,3,3,-1
69,3149.3,3878.1,2298.98,2523.69,3,3,-1
70,2105.6,2406.4,1990.41,2121.09,2,2,-1
71,3571.8,6239.4,2328.01,3999.22,3,3,-1
72,4606.6,7495.3,2734.06,4398.85,4,3,-1
73,4370.6,7247.1,2767.93,4199.74,4,3,-1
74,3614.2,6215.0,2298.98,3193.32,3,3,-1
75,4757.2,10546.2,3420.06,5406.53,3,3,-1
76,6262.3,10085.8,3756.82,7203.6,4,3,-1
77,5006.2,10567.1,3115.5,6589.87,3,3,-1
78,4611.7,5997.1,2335.6,3663.62,4,3,-1
79,3378.5,3891.7,2503.38,2077.25,3,3,-1
80,3855.2,4746.4,2761.64,3248.29,3,3,-1
81,3736.0,5224.9,2878.92,3186.82,3,3,-1
82,3643.1,4627.9,2856.21,2840.24,3,3,-1
83,3818.6,5613.8,2812.04,2983.05,3,3,-1
84,3921.5,6791.3,2708.06,3675.67,3,3,-1
85,4707.5,7805.8,3060.43,5485.39,3,3,-1
86,3687.4,5021.8,2768.78,3384.19,3,3,-1
87,3639.5,5361.3,2801.89,3714.06,3,3,-1
88,3751.5,5895.8,2892.35,3950.11,3,3,-1
89,3715.6,5386.4,2979.28,3454.46,3,3,-1
90,3982.4,6174.7,2956.09,4153.6,3,3,-1
91,5594.5,7911.8,3375.91,5181.42,4,3,-1
92,4392.4,7580.0,3253.64,4428.71,3,3,-1
93,5072.1,8860.8,3366.83,5521.67,4,3,-1
94,4006.0,6576.4,3093.83,3810.38,3,3,-1
95,5157.0,9017.1,3495.38,5840.63,3,3,-1
96,5451.5,8225.8,3809.51,5330.78,3,3,-1
97,5519.7,7355.2,3685.87,5114.96,4,4,-1
98,4865.9,8395.1,3190.79,5197.69,3,3,-1
99,5791.4,8466.2,3879.13,5386.56,4,4,-1
100,4410.0,5656.7,3089.89,3809.09,3,3,-1
101,5794.5,9581.1,3639.82,6579.9,3,4,-1
102,5700.6,9860.8,4190.06,7530.41,3,4,-1
103,6031.9,9552.6,3837.82,7286.46,3,3,-1
104,6465.0,9391.8,3796.74,7546.91,4,3,-1
105,5575.2,9207.6,3786.88,6389.29,4,3,-1
106,6962.3,9595.5,4056.62,7288.12,3,3,-1
107,4531.5,7369.2,3088.32,4627.11,3,3,-1
108,6626.6,9006.7,3925.13,7316.49,3,3,-1
109,6407.2,9345.3,4049.75,6531.26,3,3,-1
110,4507.7,4928.1,3013.37,3637.65,3,3,-1
111,6162.5,8521.3,3657.9,5378.69,3,3,-1
112,5686.0,9212.6,3450.41,6376.83,3,3,-1
113,6210.8,9617.5,3978.72,6798.27,4,4,-1
114,5421.3,9651.8,3139.73,5648.18,4,4,-1
115,6904.9,9091.0,4158.8,7687.31,3,3,-1
116,6501.1,9121.8,4149.21,7175.83,4,4,-1
117,6517.6,9297.6,4114.92,7055.59,3,3,-1
118,6187.2,9194.7,4140.18,6586.58,3,3,-1
119,6751.9,9507.2,4003.54,6259.34,4,4,-1
120,6892.0,10087.5,4127.95,6812.91,3,4,-1
121,6592.5,9856.8,4177.47,5895.16,4,3,-1
122,6701.6,8812.0,4232.74,5423.16,3,3,-1
123,7503.2,9726.4,5012.78,6806.02,4,4,-1
124,4977.1,5914.3,3097.07,3772.6,4,4,-1
125,4507.7,5450.4,3036.03,3970.76,3,3,-1
126,6794.0,8479.2,4906.75,5310.53,3,3,-1
127,6433.4,6386.7,3829.56,4095.32,4,3,-1
128,5172.6,6626.2,3481.95,4038.74,3,3,-1
129,5193.5,5449.4,3654.43,3880.87,3,3,-1
130,5825.6,6860.1,3481.87,4368.51,3,3,-1
131,4513.7,4811.1,3321.31,3055.34,3,3,-1
132,4276.1,4593.0,2994.05,2810.94,3,3,-1
133,5865.3,5253.7,3762.27,3353.35,3,3,-1
134,6881.7,7302.0,4758.21,4727.69,3,3,-1
135,4589.5,4852.0,3469.31,3034.48,3,3,-1
