gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,winner
0,2335.0,2128.3,57.77,55.73,2,2,25,25,3,10,-1
1,2399.7,2236.9,109.67,115.5,2,2,25,25,5,20,-1
2,2399.7,2359.6,181.96,195.62,2,2,25,25,11,14,-1
3,2476.2,2359.6,262.01,264.88,2,2,25,25,19,22,-1
4,2476.2,2365.5,318.01,332.55,2,2,25,25,25,25,-1
5,2476.2,2461.2,381.62,419.23,2,2,25,25,25,25,-1
6,2476.2,2461.2,422.51,477.22,2,2,25,25,25,25,-1
7,2476.2,2461.2,482.71,517.66,2,2,25,25,25,25,-1
8,2476.2,2461.2,546.24,591.55,2,2,11,25,25,25,-1
9,2479.0,2461.2,584.06,648.69,2,2,25,25,25,25,-1
10,2479.0,2461.2,628.45,704.9,2,2,25,25,25,25,-1
11,2479.0,2461.2,691.58,752.99,2,2,25,25,25,25,-1
12,2479.0,2461.2,739.49,783.81,2,2,25,25,25,25,-1
13,2479.0,2461.2,772.28,827.45,2,2,25,25,25,25,-1
14,2479.0,2461.2,811.26,881.68,2,2,25,25,25,25,-1
15,2479.0,2461.2,849.41,920.08,2,2,25,25,25,25,-1
16,2479.0,2461.2,871.45,967.17,2,2,25,25,25,25,-1
17,2479.0,2461.2,895.09,992.87,2,2,25,25,25,25,-1
18,2479.0,2461.2,945.33,1035.75,2,2,25,25,25,25,-1
19,2479.0,2461.2,941.07,1055.9,2,2,25,25,25,25,-1
20,2479.0,2461.2,977.88,1089.33,2,2,25,25,25,25,-1
21,2479.0,2461.2,1004.23,1121.29,2,2,25,25,25,25,-1
22,2479.0,2461.2,1042.37,1134.92,3,2,25,25,25,25,-1
23,2476.2,2461.2,1059.19,1181.23,2,2,25,25,25,25,-1
24,2476.2,2517.3,1088.7,1213.08,2,2,25,25,25,25,-1
25,2476.2,2517.3,1099.05,1227.5,2,3,25,25,25,25,-1
26,2476.2,2517.3,1135.38,1268.08,2,2,10,10,25,25,-1
27,2476.2,2517.3,1165.93,1291.59,2,2,25,10,25,25,-1
28,2476.2,2517.3,1190.97,1328.28,2,2,10,10,25,25,-1
29,2476.2,2517.3,1219.97,1338.03,2,2,10,10,25,25,-1
30,2476.2,2517.3,1245.72,1358.51,2,2,25,10,25,25,-1
31,2476.2,2517.3,1244.86,1390.32,2,2,10,10,25,25,-1
32,2476.2,2500.0,1243.85,1401.79,2,2,10,10,25,25,-1
33,2476.2,2500.0,1263.96,1442.97,2,2,25,10,25,25,-1
34,2476.2,2500.0,1295.07,1445.25,2,2,10,15,25,25,-1
35,2476.2,2500.0,1318.79,1458.67,2,2,25,10,25,25,-1
36,3233.5,3375.8,1346.21,1477.49,3,3,10,10,25,14,-1
37,3233.5,3375.8,1373.07,1482.02,2,2,17,25,25,13,-1
38,2476.2,3375.8,1382.02,1501.56,2,2,10,10,25,12,-1
39,2476.2,3375.8,1429.32,1511.13,2,2,10,10,25,13,-1
40,2476.2,3375.8,1468.11,1540.08,2,2,10,10,25,13,-1
41,2476.2,3375.8,1487.83,1554.46,2,2,10,10,25,13,-1
42,2476.2,3375.8,1477.61,1548.69,2,2,10,10,25,13,-1
43,2476.2,3375.8,1480.34,1533.6,2,2,10,25,25,12,-1
44,2476.2,3375.8,1499.99,1542.38,2,2,10,10,25,12,-1
45,2476.2,3375.8,1519.15,1560.49,2,2,10,10,25,13,-1
46,2476.2,3375.8,1542.62,1556.5,2,2,10,10,25,14,-1
47,2476.2,3375.8,1541.95,1551.25,2,2,10,10,25,12,-1
48,2476.2,3375.8,1566.94,1558.22,2,2,10,10,25,12,-1
49,2476.2,3375.8,1558.89,1536.93,2,2,10,10,25,11,-1
50,2476.2,3375.8,1553.76,1544.21,2,2,10,10,25,11,-1
51,2476.2,3375.8,1544.63,1550.18,2,2,10,10,25,10,-1
52,2476.2,3375.8,1523.27,1538.78,1,1,10,10,25,10,-1
53,2476.2,3375.8,1522.53,1577.37,2,2,10,10,25,10,-1
54,2476.2,3375.8,1528.26,1591.92,2,2,10,10,25,10,-1
55,2476.2,3375.8,1525.57,1607.94,2,2,10,10,25,9,-1
56,2490.6,3375.8,1541.02,1609.57,2,2,10,10,25,9,-1
57,3438.9,3375.8,1560.1,1625.89,3,2,10,25,7,9,-1
58,3438.9,3375.8,1554.18,1646.05,2,3,10,25,7,9,-1
59,3385.2,3375.8,1550.39,1651.99,2,1,10,10,9,9,-1
60,3385.2,3375.8,1531.46,1622.63,2,1,10,10,8,9,-1
61,3385.2,3375.8,1519.88,1611.77,2,2,10,10,8,9,-1
62,3385.2,3375.8,1519.46,1591.36,2,2,10,10,8,8,-1
63,3385.2,3375.8,1519.28,1601.89,2,2,10,10,9,9,-1
64,3385.2,3375.8,1520.22,1607.79,2,2,10,10,9,8,-1
65,3385.2,3375.8,1511.64,1602.91,1,1,10,10,9,8,-1
66,3385.2,3375.8,1504.45,1582.74,2,2,10,10,8,7,-1
67,3385.2,3375.8,1496.84,1573.99,1,1,10,10,8,7,-1
68,3385.2,3375.8,1480.23,1568.98,1,1,10,10,8,7,-1
69,3385.2,3375.8,1473.09,1558.37,1,1,10,10,8,7,-1
70,3385.2,3375.8,1471.12,1550.88,1,1,10,10,8,7,-1
71,3385.2,3375.8,1481.18,1539.63,1,1,10,10,8,6,-1
72,3385.2,3375.8,1488.92,1526.0,1,1,10,10,8,5,-1
73,3385.2,3375.8,1480.39,1511.7,1,1,10,10,7,5,-1
74,3385.2,3375.8,1482.67,1507.79,1,1,10,10,6,5,-1
75,3385.2,3375.8,1476.01,1497.13,1,1,10,10,6,5,-1
76,3385.2,3375.8,1470.31,1480.0,1,1,10,10,6,4,-1
77,3385.2,3375.8,1469.84,1483.86,1,1,10,10,6,4,-1
78,3385.2,3375.8,1468.69,1481.78,1,1,10,10,6,3,-1
79,3385.2,3375.8,1457.82,1480.23,1,1,10,10,6,3,-1
80,3385.2,3375.8,1451.15,1472.71,1,1,10,10,6,2,-1
81,3385.2,3375.8,1451.5,1466.51,1,1,10,10,6,2,-1
82,3385.2,3375.8,1449.19,1458.71,1,1,10,10,6,2,-1
83,3385.2,3375.8,1452.27,1452.22,2,2,10,10,6,2,-1
84,3385.2,3375.8,1450.79,1452.6,2,2,10,10,6,1,-1
85,3385.2,3375.8,1450.57,1450.81,1,1,10,10,6,1,-1
86,3385.2,3375.8,1467.84,1464.68,2,2,10,10,7,1,-1
87,3385.2,3375.8,1456.0,1482.75,2,2,10,10,6,1,-1
88,3385.2,2359.6,1452.47,1475.73,1,1,10,10,6,25,-1
89,3385.2,2359.6,1464.46,1473.95,2,2,10,10,6,25,-1
90,3385.2,2359.6,1471.27,1460.22,1,1,10,10,6,25,-1
91,3385.2,2359.6,1489.17,1465.24,2,2,10,10,6,25,-1
92,3385.2,2359.6,1483.83,1453.82,1,1,10,10,6,25,-1
93,3385.2,2359.6,1479.4,1456.47,1,1,10,10,6,25,-1
94,3385.2,2359.6,1467.22,1458.62,1,2,10,10,5,25,-1
95,3385.2,2439.9,1472.32,1470.92,2,2,17,10,5,25,-1
96,3385.2,2439.9,1467.24,1471.49,2,2,10,10,4,25,-1
97,3385.2,2439.9,1456.04,1463.49,1,1,10,10,4,25,-1
98,3385.2,2447.6,1466.64,1471.41,2,2,10,10,5,25,-1
99,3385.2,2447.6,1479.55,1479.03,2,2,10,25,5,25,-1
100,3385.2,2448.2,1509.27,1491.22,2,2,10,25,5,25,-1
101,3385.2,2600.0,1525.65,1506.66,2,2,10,10,5,25,-1
102,3385.2,2600.0,1519.87,1505.75,2,2,10,10,5,25,-1
103,3385.2,2600.0,1522.96,1512.21,2,2,10,10,6,25,-1
104,3385.2,2600.0,1516.36,1509.67,1,2,10,10,5,25,-1
105,3385.2,2600.0,1528.06,1516.41,2,2,10,10,5,25,-1
106,3385.2,2600.0,1557.3,1550.52,2,2,10,11,6,25,-1
107,3385.2,2600.0,1559.97,1575.47,2,2,10,10,6,25,-1
108,3385.2,2600.0,1595.07,1583.01,2,2,10,10,6,25,-1
109,3385.2,2600.0,1619.85,1613.56,2,2,10,10,5,25,-1
110,3385.2,2600.0,1614.35,1607.5,2,2,13,10,5,25,-1
111,3385.2,2600.0,1646.45,1613.87,2,2,10,11,5,25,-1
112,3385.2,2445.4,1655.16,1618.82,2,2,10,10,5,25,-1
113,3385.2,2450.0,1658.89,1639.43,2,2,10,10,7,25,-1
114,3385.2,2450.0,1693.6,1649.0,2,2,10,10,7,25,-1
115,3385.2,2450.0,1713.99,1666.81,2,2,10,10,7,25,-1
116,3385.2,2450.0,1724.44,1662.21,2,2,10,10,7,25,-1
117,3385.2,2450.0,1726.32,1671.6,2,2,10,10,7,25,-1
118,2491.1,2450.0,1733.27,1697.95,2,2,10,10,25,25,-1
119,2491.1,2528.9,1739.65,1719.02,2,2,12,10,25,25,-1
120,2491.1,2528.9,1739.04,1713.14,2,2,10,10,25,25,-1
121,2491.1,2528.9,1742.41,1732.78,2,2,10,10,25,25,-1
122,2491.1,2528.9,1746.47,1738.54,2,2,10,10,25,25,-1
123,2491.1,2528.9,1761.62,1752.74,2,2,10,10,25,25,-1
124,2491.1,2528.9,1747.61,1750.92,2,2,10,10,25,25,-1
125,2491.1,2528.9,1739.97,1741.44,2,2,10,10,25,25,-1
126,2491.1,2528.9,1758.96,1741.71,2,2,15,10,25,25,-1
127,2491.1,2528.9,1746.52,1739.05,2,2,10,11,25,25,-1
128,2491.1,2528.9,1747.97,1741.96,2,2,10,10,25,25,-1
129,2489.0,2528.9,1747.07,1750.15,2,2,11,10,25,25,-1
130,2489.0,2528.9,1756.3,1752.64,2,2,10,10,25,25,-1
131,2489.0,2528.9,1752.33,1748.95,2,2,10,10,25,25,-1
132,2489.0,2528.9,1769.91,1755.7,2,2,10,12,25,25,-1
133,2489.0,3233.6,1775.68,1766.88,2,3,16,25,25,25,-1
134,2489.0,3233.6,1776.15,1751.01,2,2,10,10,25,25,-1
135,2489.0,3233.6,1784.28,1752.91,2,2,10,10,25,25,-1
136,2489.0,3233.6,1783.52,1738.62,2,2,10,12,25,25,-1
137,2489.0,3233.6,1779.27,1739.71,2,2,10,10,25,25,-1
138,2489.0,3233.6,1767.41,1749.05,1,2,10,10,25,25,-1
139,2489.0,3233.6,1772.74,1750.95,2,2,10,10,25,25,-1
140,2489.0,3233.6,1778.45,1745.55,2,2,10,10,25,25,-1
141,2489.0,3233.6,1768.91,1756.27,2,2,10,10,25,25,-1
142,2489.0,3233.6,1756.12,1747.1,2,2,10,10,25,25,-1
143,2489.0,3233.6,1759.39,1744.22,2,2,10,10,25,25,-1
