gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,teammates_reach,winner
0,4309.6,4889.35,91.39,104.92,2,2,50,50,2,4,60,6,8120,4310,1732,227,628,16,1,756,-1
1,4309.6,4889.35,157.56,113.18,2,2,50,50,9,9,60,2,11137,5395,1690,61,0,0,0,46,-1
2,4700.0,4889.35,231.13,96.28,2,2,50,50,14,9,60,3,9137,4896,2088,34,123,0,0,79,-1
3,4700.0,4889.35,149.64,64.63,2,2,50,50,12,8,60,3,6577,5477,490,119,62,0,0,723,-1
4,4700.0,4889.35,99.48,-66.78,2,1,50,50,14,8,60,1,8865,8360,366,0,0,0,0,662,-1
5,4700.0,4889.35,64.5,-64.63,2,2,50,50,14,9,60,4,6462,3690,1330,0,25,0,0,1556,-1
6,4700.0,4889.35,36.62,8.86,2,2,50,50,13,11,60,8,3783,3262,184,57,83,172,0,1081,-1
7,4700.0,4889.35,15.07,16.92,2,2,50,50,14,12,60,4,6365,4983,757,67,11,0,0,391,-1
8,4700.0,4889.35,0.55,-63.95,2,2,50,50,12,13,60,4,9073,8744,45,63,201,0,0,31,-1
9,4700.0,4889.35,-39.97,-126.95,2,2,50,50,13,13,60,4,7489,6413,476,154,183,0,0,2,-1
10,4700.0,4889.35,-113.62,-298.48,1,2,50,50,13,12,60,2,7959,7021,765,79,122,0,0,26,-1
11,4700.0,4889.35,-152.5,-436.74,2,1,50,50,15,11,60,2,10289,7673,1308,0,263,0,0,14,-1
12,4700.0,4889.35,-176.07,-439.06,1,2,50,50,15,12,60,1,8350,6786,816,0,185,0,0,2,-1
13,4700.0,4889.35,-212.49,-449.05,2,2,50,50,16,12,60,3,9837,7408,998,7,243,5,0,257,-1
14,4700.0,4889.35,-171.38,-395.63,2,2,50,50,20,13,60,5,10025,8028,757,110,374,2,0,81,-1
15,4700.0,4889.35,-137.7,-394.85,2,2,50,50,20,14,60,9,8058,6608,562,122,1099,33,0,160,-1
16,4700.0,4889.35,-93.02,-455.52,2,1,50,50,21,14,60,1,11219,8338,1197,0,226,0,0,7,-1
17,4700.0,4889.35,-99.63,-407.0,2,2,50,50,23,13,60,7,7950,6471,352,183,433,1,0,66,-1
18,4700.0,4889.35,-77.74,-367.64,2,2,50,50,22,14,60,7,9457,6145,1229,274,431,11,6,65,-1
19,4700.0,4889.35,-53.97,-444.58,2,2,50,50,23,12,60,1,10706,7494,1605,124,231,0,0,2,-1
20,4700.0,4949.725,-180.94,-354.28,1,2,50,50,21,13,60,4,9890,7789,740,267,316,1,0,1,-1
21,4700.0,4949.725,-223.76,-341.2,2,1,50,50,20,12,60,1,9435,6044,1695,187,65,0,0,247,-1
22,4850.25,4949.725,-262.56,-402.08,2,1,50,50,14,12,60,3,6927,5211,1,123,62,1,0,0,-1
23,4850.25,4949.725,-260.0,-355.87,2,2,50,50,15,11,60,2,7955,6518,611,76,695,0,0,20,-1
24,5049.225,4949.725,-179.97,-351.65,2,2,50,50,13,11,60,2,7682,4218,622,121,192,1,0,138,-1
25,5049.225,4949.725,-81.34,-269.12,2,2,50,50,11,9,60,2,5895,4396,749,6,185,0,0,1743,-1
26,5049.225,4949.725,-3.76,-173.9,2,2,50,50,11,9,60,6,6891,5363,709,241,264,0,0,1544,-1
27,5049.225,4949.725,106.38,-139.95,2,1,50,50,12,10,60,2,7299,4650,1386,118,93,0,0,170,-1
28,5049.225,4949.725,112.25,-119.94,2,2,50,50,12,11,60,3,6957,5931,655,228,51,0,0,548,-1
29,4700.0,4700.0,183.03,-141.36,2,2,50,50,18,17,60,4,9256,5099,1879,594,182,4,1,1128,-1
30,4700.0,4700.0,185.42,-103.51,2,1,50,50,20,16,60,1,7971,4965,1503,122,327,0,0,1535,-1
31,4680.0,4700.0,208.46,-139.65,2,1,50,50,19,16,60,2,8144,7631,313,209,108,0,0,394,-1
32,4680.0,4730.9,130.74,-127.05,2,2,50,50,17,15,60,3,6006,4867,689,249,301,0,0,329,-1
33,4849.9,4730.9,84.26,-135.39,2,2,50,50,10,17,60,6,6754,4896,1170,246,338,0,0,270,-1
34,4849.9,4730.9,147.36,-221.1,2,2,50,50,12,16,60,8,9706,8336,296,516,0,43,0,509,-1
35,4849.9,4730.9,103.32,-206.47,2,2,50,50,16,16,60,8,8773,7370,658,365,41,0,0,289,-1
36,4849.9,4730.9,147.85,-135.97,2,2,50,50,17,15,60,16,7063,4827,626,695,395,60,5,1503,-1
37,4849.9,4730.9,178.25,-59.17,2,2,50,50,18,17,60,6,6686,5803,441,327,20,0,0,124,-1
38,4849.9,4849.8,180.19,-37.87,2,2,50,50,19,12,60,5,9598,9365,116,181,162,0,0,158,-1
