gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,useless_drops,winner
0,4607.6,4627.6,98.26,101.9,2,2,50,50,4,3,60,10,7735,313,249,-1
50,9913.4,5083.9,2273.34,2276.15,1,1,50,50,1,25,60,0,3852,4934,80,-1
100,5184.8,9773.9,3411.73,3586.59,2,2,50,50,25,1,60,67,60,5637,218,-1
150,5141.3,10146.8,3974.24,4075.09,2,2,50,50,25,1,60,59,323,4220,242,-1
200,5150.3,5187.7,3822.72,4011.42,2,2,50,50,25,25,60,59,445,2968,97,-1
250,10282.0,9569.5,4582.48,4625.02,2,2,50,50,2,2,60,75,215,2441,7,-1
300,11111.3,5185.6,4547.12,4477.57,2,2,50,50,2,25,60,74,2607,4884,40,-1
350,10237.7,5178.9,4379.87,4364.98,2,2,50,50,3,25,60,72,5715,4761,208,-1
400,13631.4,14960.1,3393.43,3662.99,2,3,50,50,1,1,60,74,1227,8279,78,-1
450,9826.0,5135.9,3979.13,4076.02,2,2,50,50,1,25,60,62,222,1211,30,-1
500,10035.8,10061.5,4288.52,4250.07,3,3,50,50,4,2,60,61,464,1059,220,-1
550,9806.8,9400.0,2696.89,2717.41,3,3,50,50,1,1,60,64,1339,2085,321,-1
600,5100.0,5069.8,3028.9,3161.07,2,2,50,50,25,25,60,53,1602,1506,99,-1
650,9780.0,9640.0,4186.53,4280.62,2,2,50,50,2,1,60,67,724,2620,32,-1
700,9689.4,9747.7,3686.25,3879.27,2,3,50,50,1,1,60,76,1484,2990,103,-1
750,10170.4,10050.3,4372.53,4340.31,3,3,50,50,4,3,60,81,959,3682,188,-1
800,10221.9,10147.0,5139.7,4967.6,3,3,50,50,19,10,60,81,460,3255,111,-1
850,10300.0,10147.5,4820.76,4695.99,2,2,50,50,7,2,60,73,1788,2026,4,-1
900,5166.2,5199.9,3930.78,3846.15,2,2,50,50,25,25,60,58,2837,1943,3,-1
950,10383.8,5191.8,4154.53,4035.36,3,3,50,50,1,25,60,61,1112,2132,52,-1
1000,5147.5,5195.6,4343.35,4376.62,2,2,50,50,25,25,60,58,772,2676,36,-1
1050,9690.9,9819.0,3896.66,3945.81,2,2,50,50,1,2,60,59,186,2711,117,-1
1100,5185.2,10077.5,4381.2,4454.04,2,2,50,50,25,2,60,66,132,2200,37,-1
1150,10147.7,10141.3,4124.11,4177.12,3,3,50,50,2,6,60,69,225,2186,8,-1
1200,5149.5,5137.0,2591.55,2606.73,2,2,50,50,25,25,60,17,435,441,1,-1
1250,5089.9,5047.8,2295.95,2154.08,2,2,50,50,25,25,60,20,459,715,0,-1
1300,10279.7,10135.4,4181.73,4221.06,2,2,50,50,4,5,60,46,3371,1537,1,-1
1350,10327.5,10137.4,4647.84,4600.88,3,3,50,50,9,5,60,71,1178,3597,44,-1
1400,10337.0,10193.2,4980.92,4961.53,3,3,50,50,14,13,60,91,3875,3525,74,-1
1450,10086.3,11659.4,4726.22,4899.11,2,2,50,50,4,1,60,59,2619,2538,147,-1
1500,10132.6,10047.5,4756.26,4589.2,2,2,50,50,7,6,60,65,7089,987,395,-1
1550,9926.9,10190.3,4165.71,4170.72,2,2,50,50,2,4,60,49,2633,757,280,-1
1600,5137.7,10117.7,2954.29,3189.07,2,2,50,50,25,1,60,40,4671,1177,111,-1
1650,9635.4,5092.0,3322.3,3016.95,2,2,50,50,1,25,60,42,1424,1428,91,-1
1700,9880.1,5134.9,3564.16,3649.97,3,2,50,50,3,25,60,57,4513,1523,107,-1
1750,10121.7,10189.6,4230.13,4250.85,2,2,50,50,1,2,60,64,8,3025,1,-1
1800,5100.0,5195.2,3614.71,3500.07,2,2,50,50,25,25,60,63,1,2240,4,-1
1850,9538.4,9778.0,3004.81,2794.11,2,2,50,50,1,1,60,32,1,1314,5,-1
1900,5199.7,5042.7,2839.51,2782.13,2,2,50,50,25,25,60,24,0,791,16,-1
1950,5099.7,5099.7,3696.3,3647.38,2,2,50,50,25,25,60,46,0,1881,0,-1
2000,9679.6,10199.6,4164.16,4232.39,2,2,50,50,2,2,60,51,0,333,0,-1
2050,5059.6,5139.5,4131.46,4179.69,2,2,50,50,25,25,60,87,161,851,2,-1
2100,5093.4,5093.4,4280.99,4370.22,2,2,50,50,25,25,60,59,206,1037,2,-1
2150,5099.1,5042.7,3710.69,3742.54,2,2,50,50,25,25,60,57,69,1017,58,-1
2200,5048.4,5100.0,2294.83,2285.34,2,2,21,20,25,25,1,9,12,584,0,-1
2250,5099.0,5090.2,3946.58,3740.87,2,2,50,50,25,25,60,51,10,847,6,-1
2300,5084.5,5049.1,3544.33,3612.59,2,2,20,34,25,25,14,15,0,553,8,-1
2350,5068.9,5100.0,3637.47,3845.78,2,2,50,50,25,25,60,44,1,1181,76,-1
2400,5097.0,5193.8,4154.17,4203.1,2,2,27,21,25,25,8,37,0,421,0,-1
2450,5099.7,5200.0,4366.67,4267.77,2,2,22,21,25,25,3,36,0,876,0,-1
2500,9546.5,9496.5,3865.22,3809.99,2,2,20,20,2,1,0,23,0,467,0,-1
2550,11481.8,5199.2,4148.64,4235.24,2,2,20,20,1,25,0,23,0,655,0,-1
2600,10139.1,9789.2,4261.8,4287.94,2,2,20,21,3,1,1,34,0,566,0,-1
2650,9527.4,5093.8,4303.06,4382.34,3,2,50,50,2,25,60,47,0,448,0,-1
2700,4946.1,9587.8,2997.69,3154.99,2,2,50,26,25,1,36,21,0,68,0,-1
2750,4947.4,5098.7,3643.63,3462.57,2,2,50,50,25,25,60,61,0,204,0,-1
2800,5098.9,5098.9,4163.73,4168.67,2,2,50,50,25,25,60,51,0,605,0,-1
2850,12348.5,10229.2,4403.95,4209.84,2,2,50,50,1,1,60,56,3,1342,0,-1
2900,9649.3,10699.6,4266.09,4271.66,2,2,50,50,2,1,60,49,0,1285,1,-1
2950,5099.1,5099.2,3920.09,3836.01,2,2,50,50,25,25,60,39,0,747,0,-1
3000,5097.5,5099.6,4117.97,3871.33,2,2,50,50,25,25,60,47,0,1085,1,-1
3050,5099.5,5199.4,4268.57,4210.69,2,2,50,50,25,25,60,78,0,1997,0,-1
3100,10449.8,9949.6,3950.65,3873.25,2,2,50,50,1,2,60,43,0,913,0,-1
3150,9989.6,5099.5,4274.83,4062.15,2,2,50,50,1,25,60,65,0,1767,0,-1
3200,10949.5,5199.7,4646.58,4620.48,3,2,50,50,1,25,60,78,0,2314,0,-1
3250,11069.6,9889.6,4156.35,4241.6,2,2,50,50,1,2,60,55,0,1675,0,-1
3300,10449.6,10649.7,4494.34,4639.61,2,2,50,50,2,2,60,75,0,2789,0,-1
3350,10849.5,10249.1,4637.2,4641.76,2,2,50,50,3,3,60,58,1,1718,0,-1
3400,10099.3,5099.6,4647.26,4574.53,2,2,50,50,1,25,60,84,4,1831,0,-1
3450,5099.6,5099.6,4604.02,4647.57,2,2,50,50,25,25,60,79,1,2386,2,-1
3500,5099.7,5099.7,4358.79,4373.89,2,2,50,50,25,25,60,79,7,2657,0,-1
3550,5099.2,5113.8,4279.24,4261.81,2,2,50,50,25,25,60,72,14,2906,0,-1
3600,10709.7,5199.5,4180.34,4359.86,2,2,50,50,1,25,60,61,0,2337,0,-1
3650,10699.8,10189.8,4389.58,4466.89,3,2,50,50,3,3,60,77,2,2454,0,-1
3700,9849.8,5099.8,4026.7,3875.26,2,2,50,50,1,25,60,44,0,1606,0,-1
3750,10059.8,10239.8,3996.5,4065.78,2,2,50,50,1,2,60,51,0,3075,0,-1
3800,5099.8,5099.7,3355.15,3308.85,2,2,50,50,25,25,60,48,6,2444,14,-1
3850,5199.6,10227.3,3852.74,3872.56,2,2,50,50,25,2,60,36,0,1846,0,-1
3900,9867.6,5158.8,3299.78,3042.11,2,2,50,50,1,25,60,41,0,2522,9,-1
3950,5099.7,5093.8,3625.51,3545.5,2,2,50,50,25,25,60,63,20,3318,1,-1
4000,10288.3,5199.8,4643.69,4529.39,2,2,50,50,1,25,60,81,26,3570,2,-1
4050,5099.8,10349.6,3403.91,3726.39,2,2,50,50,25,1,60,27,0,1744,0,-1
4100,10778.9,10928.8,4704.95,4690.87,2,2,50,50,5,3,60,87,652,3703,0,-1
4150,10399.5,11149.6,4634.14,4705.47,3,3,50,50,2,1,60,82,156,2366,0,-1
4200,11817.3,5200.0,4100.15,3804.65,2,2,50,50,1,25,60,48,2,2588,0,-1
4250,11198.9,10349.7,3731.58,3782.97,2,2,50,50,1,1,60,51,7,1807,4,-1
4300,10319.6,10459.5,4255.57,4244.54,2,2,50,50,3,4,60,54,1,2369,1,-1
4350,9609.4,9869.0,4139.36,4031.21,2,2,50,50,2,1,60,46,2,2133,0,-1
4400,10446.4,9996.4,3830.88,3651.77,2,2,50,50,2,1,60,37,0,1911,0,-1
4450,5298.2,10895.1,2936.96,3091.49,2,2,50,50,25,1,60,29,14,3728,30,-1
4500,5192.2,5099.0,3333.63,3394.41,2,2,50,50,25,25,60,36,1,3139,0,-1
4550,5049.0,5090.1,2858.68,3016.99,2,2,20,20,25,25,0,11,0,1602,0,-1
4600,11048.3,10750.0,4264.94,4382.67,2,2,20,20,1,3,0,28,0,1075,0,-1
4650,11041.4,11182.1,4119.63,4352.86,3,3,21,20,1,2,1,34,42,1256,3,-1
4700,11196.7,10112.6,4628.99,4379.29,2,2,20,24,3,1,4,39,57,1886,0,-1
4750,5096.1,11264.0,4289.38,4390.15,2,2,50,50,25,3,60,76,1372,4243,0,-1
4800,10646.1,11293.6,4421.34,4397.89,2,2,27,21,3,1,8,36,187,2249,0,-1
4850,5163.6,5091.2,3967.03,3917.16,2,2,26,34,25,25,20,48,780,2296,0,-1
4900,5100.0,5094.9,4204.95,4211.07,2,2,22,20,25,25,2,34,283,1986,0,-1
4950,5169.0,11676.8,4351.21,4336.24,2,3,21,23,25,2,4,38,125,1954,0,-1
