gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,useless_drops,winner
0,4607.6,4627.6,98.26,101.9,2,2,50,50,4,3,60,10,7735,313,249,-1
1,4607.6,4627.6,209.57,242.8,2,2,50,50,6,6,60,7,8927,417,2,-1
2,4936.0,4907.6,324.27,403.96,2,2,50,50,10,10,60,7,4876,1116,85,-1
3,4939.7,4939.7,476.75,571.24,2,2,50,50,13,16,60,13,5230,664,42,-1
4,4939.7,4939.7,584.8,687.92,2,2,50,50,15,19,60,14,2302,1466,55,-1
5,4946.8,4939.7,737.22,802.08,2,2,50,50,19,23,60,15,5173,1159,92,-1
6,5089.3,4942.7,957.62,999.02,2,2,50,50,25,25,60,50,1391,1863,21,-1
7,5089.3,4942.7,1162.51,1079.61,2,2,50,50,25,25,60,36,1831,1662,89,-1
8,5137.5,4942.7,1288.19,1210.43,2,2,50,50,25,25,60,20,1122,1564,18,-1
9,5137.5,4942.7,1377.11,1351.65,2,2,50,50,25,25,60,37,2151,1355,17,-1
10,5137.5,4942.7,1500.13,1492.01,2,2,50,50,25,25,60,40,1865,2170,11,-1
11,5137.5,5177.6,1583.6,1594.73,2,2,50,50,25,25,60,37,1398,1602,39,-1
12,5137.5,5177.6,1562.41,1619.66,2,2,50,50,25,25,60,12,2734,1627,100,-1
13,5137.5,5177.6,1690.11,1696.4,2,2,50,50,25,25,60,36,2651,2754,77,-1
14,5137.5,5177.6,1692.67,1704.96,2,2,50,50,25,25,60,28,2691,1781,20,-1
15,5137.5,5177.6,1750.87,1848.95,2,2,50,50,25,25,60,40,3312,2780,250,-1
16,5137.5,5073.5,1782.6,1880.03,2,2,50,50,25,25,60,23,2091,2016,525,-1
17,5137.5,5073.5,1741.21,1858.25,2,2,50,50,25,25,60,25,6128,1204,172,-1
18,5089.3,5073.5,1698.32,1846.98,2,2,50,50,25,25,60,19,5591,1040,77,-1
19,5089.3,5073.5,1786.85,1800.9,2,2,50,50,25,25,60,25,1328,1717,60,-1
20,5089.3,5073.5,1922.92,1886.15,2,2,50,50,25,25,60,52,746,2524,129,-1
21,5089.3,5077.4,1988.0,2031.25,2,2,50,50,25,25,60,35,706,1851,171,-1
22,5089.3,5077.4,1969.45,2022.33,2,2,50,50,25,25,60,7,3886,1362,202,-1
23,5019.9,9727.8,2010.86,2081.92,3,3,50,50,25,1,60,42,1399,2483,170,-1
24,5019.9,9727.8,2102.74,2180.6,3,2,50,50,25,1,60,47,679,2764,456,-1
25,5019.9,9727.8,2162.8,2260.92,3,3,50,50,25,2,60,38,708,2114,327,-1
26,5019.9,9944.0,2210.79,2460.46,2,3,50,50,25,4,60,47,844,3111,428,-1
27,5155.0,9944.0,2255.8,2519.86,2,2,50,50,25,4,60,29,406,2387,378,-1
28,5019.9,9944.0,2229.41,2511.76,2,2,50,50,25,4,60,27,104,1139,33,-1
29,5019.9,9944.0,2234.57,2562.03,2,2,50,50,25,4,60,50,606,2548,514,-1
30,9913.4,9944.0,2354.07,2687.26,3,2,50,50,1,4,60,67,844,5481,818,-1
31,9913.4,9944.0,2483.39,2748.69,2,2,50,50,1,3,60,44,0,2723,54,-1
32,9913.4,9944.0,2521.57,2696.18,2,2,50,50,1,3,60,11,0,541,48,-1
33,9913.4,9944.0,2501.15,2657.25,2,2,50,50,1,3,60,4,0,629,0,-1
34,9913.4,9727.8,2571.12,2686.48,2,2,50,50,1,2,60,47,2527,4575,162,-1
35,9913.4,9727.8,2710.54,2762.46,2,2,50,50,1,1,60,68,1112,4239,143,-1
36,9913.4,9727.8,2826.09,2881.99,2,2,50,50,1,1,60,66,1345,6059,172,-1
37,9913.4,9727.8,2804.87,2918.66,2,2,50,50,1,1,60,36,1316,3710,141,-1
38,9913.4,9727.8,2816.45,2855.0,2,2,50,50,1,1,60,39,814,5119,210,-1
39,9913.4,9727.8,2872.27,2926.29,2,2,50,50,1,1,60,55,383,7411,265,-1
40,9913.4,9727.8,2935.25,2952.11,2,2,50,50,1,1,60,50,206,10367,180,-1
41,9913.4,9727.8,2896.32,2876.58,2,2,50,50,1,1,60,7,47,5920,23,-1
42,9913.4,9727.8,2800.65,2800.12,2,2,50,50,1,1,60,18,496,8876,66,-1
43,9913.4,9727.8,2803.29,2784.35,2,2,50,50,1,1,60,19,388,8388,137,-1
44,9913.4,9727.8,2718.47,2713.64,1,2,50,50,1,1,60,2,0,3162,5,-1
45,9913.4,9727.8,2600.39,2661.73,2,2,50,50,1,1,60,2,77,8504,163,-1
46,9913.4,5083.9,2519.25,2541.17,1,1,50,50,1,25,60,0,188,8745,180,-1
