gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,winner
109,4146.7,5192.3,3051.44,3511.42,3,3,-1
110,4456.1,5751.7,3335.04,4363.37,3,4,-1
111,4017.3,4572.4,2905.48,3057.3,3,3,-1
112,4406.5,4661.9,3205.05,3249.6,3,3,-1
113,4712.4,5141.3,3652.58,3965.97,3,3,-1
114,4827.5,5145.3,3895.85,4222.94,3,3,-1
115,3741.0,3926.5,2648.77,2465.29,3,3,-1
116,4421.9,5297.5,3058.95,3526.11,3,3,-1
117,4961.0,5252.1,3535.48,3688.14,3,3,-1
118,5256.2,5906.0,3686.32,3865.3,4,4,-1
119,5081.7,5491.3,3556.98,3579.02,3,3,-1
120,4384.2,4239.1,2676.24,2752.19,3,3,-1
121,5397.6,5121.0,3754.52,3906.68,3,3,-1
122,3699.3,4144.3,2758.56,2451.83,3,3,-1
123,3916.5,3928.0,2376.13,2456.84,3,3,-1
124,3375.3,3576.9,2285.32,2209.73,3,3,-1
125,3462.1,3808.0,2515.53,2306.15,3,3,-1
126,3454.1,3651.5,2465.82,2201.4,3,3,-1
127,4370.3,4018.8,2735.31,2258.52,3,3,-1
128,5168.7,5129.4,3380.73,3013.35,4,3,-1
129,3992.1,4230.0,2719.14,2582.84,3,3,-1
130,4370.9,3926.6,2852.95,2629.32,3,3,-1
131,5009.3,4591.1,3030.47,2937.5,3,3,-1
132,4171.6,4433.4,2575.4,2789.91,3,3,-1
133,4930.6,5026.6,3308.23,2698.95,3,3,-1
134,4927.2,4589.3,3514.89,3350.29,3,3,-1
135,4217.5,4158.1,2835.11,2704.44,3,3,-1
136,4872.3,4732.5,3552.92,3421.03,3,3,-1
137,5272.5,5516.1,3880.51,3822.25,4,4,-1
138,5261.7,4689.3,3751.68,3502.88,3,3,-1
139,4862.2,4856.5,3314.81,3673.73,3,3,-1
140,4266.6,4495.0,2986.77,3118.18,3,3,-1
141,4030.7,3848.5,2854.92,2843.86,3,3,-1
142,4465.6,4732.1,2855.81,3101.42,4,3,-1
143,4108.4,4242.8,2960.85,3151.47,3,3,-1
144,5272.4,4855.9,3407.5,3453.51,3,3,-1
145,5425.2,5767.0,3622.76,3371.38,3,4,-1
146,5396.1,5911.0,4117.19,3662.79,4,4,-1
147,5397.6,5187.5,4007.03,3486.1,4,4,-1
148,5777.4,5459.2,4258.27,4154.69,4,4,-1
149,5226.7,4872.6,3904.51,3879.73,4,3,-1
150,5717.5,5132.9,4334.47,3753.59,4,3,-1
151,5090.6,5120.9,3889.96,3747.31,4,4,-1
152,4671.7,4834.4,3396.79,3436.69,3,3,-1
153,5122.0,4927.0,3751.5,3935.61,3,3,-1
154,5087.5,5371.4,3511.46,3919.99,3,4,-1
155,4630.9,5024.4,3145.45,3106.8,3,3,-1
156,3891.6,3445.6,2738.83,2584.34,3,3,-1
157,4584.9,4267.3,3209.26,2819.27,3,3,-1
158,6177.5,5840.6,3992.63,3543.83,4,4,-1
159,4374.0,4427.5,2890.22,2910.25,3,3,-1
160,4309.7,4254.1,2903.6,2762.85,4,4,-1
161,4983.0,4026.6,2910.58,2667.11,4,3,-1
162,4617.4,4840.8,2940.93,3355.71,3,3,-1
163,5892.3,4816.6,3270.65,3101.84,3,3,-1
164,6212.6,6822.5,4193.97,3898.11,3,4,-1
165,4310.0,3608.1,3029.78,2395.46,3,3,-1
166,4501.9,4948.8,3306.0,3067.28,3,4,-1
167,5081.6,4932.2,3552.97,3509.81,3,3,-1
168,5480.9,5036.8,3254.5,3367.84,4,4,-1
169,5041.6,4867.6,3577.83,3866.41,3,3,-1
170,5307.3,6032.2,3735.26,3905.49,3,3,-1
171,4929.7,4370.1,3296.89,3494.13,3,3,-1
172,5472.1,5356.1,3792.95,3868.65,4,4,-1
173,5026.1,4982.1,3545.48,3557.09,3,3,-1
