gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,winner
0,2587.4,2587.4,117.2,120.65,2,2,-1
1,2597.6,2597.6,142.42,122.81,2,2,-1
2,2597.5,2597.5,129.01,146.8,2,2,-1
3,2569.6,2569.6,138.24,119.66,2,2,-1
4,2595.5,2592.8,124.25,128.63,2,2,-1
5,2589.0,2589.0,125.98,127.57,2,2,-1
6,2592.0,2592.0,120.56,132.96,2,2,-1
7,2574.3,2574.3,128.99,130.2,2,2,-1
8,2600.0,2600.0,114.4,137.4,1,2,-1
9,2598.4,2598.4,136.67,129.88,2,1,-1
10,2587.3,2587.3,127.79,142.43,2,2,-1
11,2592.2,2592.2,139.78,122.98,2,2,-1
12,2592.5,2592.5,122.83,127.6,2,2,-1
13,2599.4,2599.4,141.95,137.95,2,2,-1
14,2593.5,2593.5,131.71,139.51,2,2,-1
15,2599.6,2599.6,125.97,121.17,2,2,-1
16,2587.7,2586.8,154.98,144.8,2,2,-1
17,2587.0,2587.0,139.78,153.85,2,2,-1
18,2599.3,2599.3,137.94,137.34,2,2,-1
19,2588.4,2588.4,142.68,141.53,2,2,-1
20,2595.1,2595.3,134.42,133.62,2,2,-1
21,2599.2,2599.2,130.14,139.94,2,2,-1
22,2573.9,2573.9,140.38,122.2,2,2,-1
23,2596.1,2595.6,131.85,122.67,2,2,-1
24,2596.7,2598.6,123.09,128.29,2,2,-1
25,2585.8,2585.8,117.75,133.87,2,2,-1
26,2587.3,2587.3,146.78,132.03,2,2,-1
27,2599.5,2599.9,137.56,139.36,2,2,-1
28,2590.7,2595.6,126.09,144.68,2,2,-1
29,2592.0,2592.4,115.38,122.36,2,2,-1
30,2598.4,2598.4,128.87,119.48,2,2,-1
31,2582.0,2582.0,132.37,116.77,2,2,-1
32,2596.9,2596.9,136.55,138.96,2,2,-1
33,2581.8,2581.8,130.49,135.24,2,2,-1
34,2587.7,2599.2,123.34,143.57,2,2,-1
35,2587.4,2595.9,119.26,161.86,2,2,-1
36,2587.4,2576.8,124.72,132.16,2,2,-1
37,2586.9,2586.1,140.38,138.57,2,2,-1
38,2587.5,2585.4,130.49,129.5,2,2,-1
39,2588.9,2588.9,117.36,138.36,2,2,-1
40,2571.9,2571.9,133.57,139.42,2,2,-1
41,2598.9,2598.3,126.52,148.57,2,2,-1
42,2574.8,2580.4,136.06,132.41,2,2,-1
43,2578.8,2578.8,145.08,135.35,2,2,-1
44,2585.2,2590.1,147.38,148.06,2,2,-1
45,2572.5,2572.5,145.73,158.71,2,2,-1
46,2598.2,3590.3,152.05,162.83,2,2,-1
47,2583.5,2578.7,141.48,157.03,2,2,-1
48,2554.4,2306.7,155.02,151.94,3,3,-1
49,2566.9,2580.0,152.22,161.15,2,2,-1
50,2574.6,2571.6,139.08,162.34,2,2,-1
51,2569.8,2569.8,155.48,135.25,2,2,-1
52,2342.0,2569.1,146.46,149.25,2,2,-1
53,2257.4,3238.5,147.29,167.84,3,3,-1
54,2572.9,2574.9,143.99,147.67,2,2,-1
55,2553.9,2553.9,157.43,158.05,2,2,-1
56,2551.4,2555.5,137.99,143.38,2,2,-1
57,2572.9,2357.3,169.38,156.27,2,2,-1
58,2558.5,2227.6,158.12,147.27,2,2,-1
59,2576.8,2349.8,156.26,157.49,2,2,-1
60,2571.8,2571.8,159.77,150.88,2,2,-1
61,2567.1,2569.4,168.98,161.57,2,2,-1
62,3200.0,2567.2,172.01,168.03,3,3,-1
63,3250.0,2550.9,163.93,136.87,3,2,-1
64,2565.9,2573.1,166.83,169.06,2,2,-1
65,3149.6,3217.9,170.29,163.29,3,3,-1
66,2557.9,2245.8,175.39,154.02,2,2,-1
67,2546.5,2296.5,165.36,155.11,2,3,-1
68,2238.3,2573.7,155.03,158.77,2,2,-1
69,2559.7,2371.9,163.01,159.74,2,2,-1
70,2567.2,2367.2,170.0,168.69,2,2,-1
71,2580.0,2577.5,173.86,158.29,2,2,-1
72,2579.3,2579.3,147.4,151.95,2,2,-1
73,2575.0,2575.0,159.33,169.16,2,2,-1
74,2575.1,2588.9,162.32,161.06,2,2,-1
75,2571.6,2571.6,153.24,165.39,2,2,-1
76,2579.7,2577.8,151.64,152.62,2,2,-1
77,2571.6,2228.5,152.63,136.68,2,2,-1
78,2592.6,2588.7,161.97,150.23,2,2,-1
79,2587.8,2599.2,153.68,152.89,2,2,-1
80,2597.5,2600.0,143.26,159.49,2,2,-1
81,2584.9,2584.9,139.68,151.77,2,2,-1
82,2589.2,2592.0,140.87,161.45,2,2,-1
83,2587.7,2600.0,156.07,134.73,2,2,-1
84,2589.0,2592.3,141.56,147.79,2,2,-1
85,2579.7,2580.3,127.47,133.1,2,2,-1
86,2600.0,2586.6,165.39,146.57,2,2,-1
87,2583.4,2583.0,150.78,123.46,2,2,-1
88,2578.6,2584.4,142.92,133.55,2,2,-1
89,2574.2,2581.2,131.22,130.91,2,2,-1
90,2598.1,2598.5,162.32,129.95,2,2,-1
91,2600.0,2595.7,146.3,135.75,2,2,-1
92,2587.0,2599.4,144.71,156.86,2,2,-1
93,2387.5,2595.4,137.38,148.36,2,2,-1
