gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,teammates_reach,winner
14,10907.1,12213.0,2317.16,2216.72,2,2,50,50,5,2,60,29,1695,1646,2,119,117,459,10,9160,-1
15,10907.1,12213.0,2281.24,2132.19,2,2,50,50,5,2,60,19,5521,3549,776,61,76,0,0,6478,-1
16,10907.1,12213.0,2271.57,2101.5,2,2,50,50,5,2,60,29,4379,3597,85,59,3,1418,3,4941,-1
17,10907.1,12213.0,2368.22,2194.6,2,2,50,50,4,2,60,42,1306,1208,32,148,67,0,0,8816,-1
18,10907.1,12213.0,2441.97,2197.37,2,2,50,50,4,2,60,23,543,543,0,125,2,0,0,7602,-1
19,10907.1,11215.4,2424.54,2265.41,2,2,50,50,4,1,60,40,3306,2920,78,307,34,561,9,9294,-1
20,10907.1,11215.4,2304.46,2226.02,2,2,50,50,3,1,60,28,5202,5127,2,286,0,75,0,3834,-1
21,10907.1,11215.4,2406.42,2346.58,2,2,50,24,3,1,34,39,4982,3621,346,6,3,864,1,3556,-1
22,10907.1,11215.4,2326.6,2434.72,2,3,50,50,3,1,60,34,3272,3226,10,0,0,94,1,7955,-1
23,10907.1,11215.4,2353.48,2401.65,2,2,50,50,3,1,60,27,5342,5053,140,6,0,97,0,5901,-1
24,10907.1,11215.4,2279.36,2294.42,2,2,50,50,3,1,60,33,5880,5105,380,5,61,19,4,6205,-1
25,10907.1,11215.4,2107.56,2195.38,2,2,50,20,3,1,30,20,5890,4205,710,0,0,0,0,2627,-1
26,10698.8,11215.4,1859.39,1984.04,2,2,50,50,2,1,60,23,9767,9650,0,0,0,157,7,2312,-1
27,10698.8,11215.4,1539.51,1790.14,2,2,22,21,1,1,3,13,4621,4350,132,0,0,0,0,718,-1
28,7250.6,9966.4,1183.71,1584.66,2,2,50,50,1,3,60,12,12215,11586,253,52,1,1,0,69,-1
29,7250.6,9966.4,988.48,1474.91,2,2,50,50,1,3,60,17,11983,11831,18,0,0,0,0,425,-1
30,7250.6,9966.4,858.66,1334.06,2,2,50,50,1,3,60,27,10274,9746,214,377,58,7,0,969,-1
31,7346.0,9966.4,914.18,1397.13,3,2,50,50,2,3,60,47,8285,8269,8,550,61,0,0,2810,-1
32,7346.0,9966.4,1009.78,1290.86,2,2,50,50,2,3,60,45,7900,7898,0,674,17,13,1,2719,-1
33,7346.0,9966.4,951.92,1200.35,2,2,50,50,2,3,60,29,10516,9996,126,341,1,16,1,1000,-1
34,7346.0,9966.4,879.16,1273.27,2,2,50,50,1,3,60,29,7296,7260,6,834,222,22,9,2638,-1
35,5636.4,9966.4,898.68,1223.71,2,2,50,50,25,3,60,36,9459,8225,253,610,8,124,1,1039,-1
36,5636.4,9966.4,864.07,1240.06,2,2,50,50,25,3,60,26,8907,8279,212,946,15,22,14,888,-1
37,5636.4,9966.4,940.75,1212.27,2,2,50,50,25,3,60,33,10506,9429,364,184,62,3,3,777,-1
38,5636.4,9821.3,873.0,1193.06,2,2,50,50,25,2,60,36,10335,9907,22,492,119,52,13,716,-1
39,7615.5,9821.3,997.14,1323.45,3,2,50,50,1,2,60,27,8893,8112,282,435,70,0,0,2095,-1
40,7615.5,9821.3,917.49,1189.48,2,2,50,50,1,2,60,29,11079,9549,186,74,4,14,0,524,-1
41,10122.0,9821.3,925.44,1169.3,3,2,50,50,1,2,60,36,8013,7539,194,273,14,0,0,3413,-1
42,10122.0,9821.3,895.48,1114.26,2,2,50,50,1,2,60,28,11587,10735,251,127,0,11,16,148,-1
43,10122.0,9821.3,843.95,1046.1,3,3,50,50,1,2,60,37,10478,10260,16,293,6,10,0,939,-1
44,10122.0,9821.3,856.94,1097.7,2,2,50,50,1,2,60,38,8098,7943,15,882,0,0,0,1161,-1
45,10122.0,9821.3,987.69,1236.88,2,2,50,50,1,2,60,63,5369,5364,2,1084,63,44,12,4508,-1
46,10122.0,9821.3,1058.32,1268.43,2,2,50,50,1,2,60,45,7559,7388,62,544,3,210,0,3276,-1
47,10122.0,9821.3,962.34,1201.33,2,2,50,50,1,2,60,30,11823,11698,2,134,1,7,1,144,-1
48,10122.0,9821.3,944.46,1163.58,2,2,50,50,1,2,60,45,10001,9922,0,486,34,24,1,1042,-1
49,10122.0,9821.3,1023.9,1238.65,2,2,50,50,1,2,60,54,7297,7258,8,973,48,63,7,2717,-1
50,10122.0,9821.3,960.24,1124.6,2,2,50,50,1,2,60,28,9871,9705,75,828,220,21,3,288,-1
51,10122.0,9821.3,822.94,1020.73,2,2,50,50,1,2,60,29,9936,8762,541,596,59,17,9,909,-1
52,10122.0,9821.3,782.47,919.37,2,2,50,50,1,2,60,19,10381,9389,377,275,61,0,0,347,-1
53,10122.0,9821.3,763.76,998.5,2,2,50,50,1,1,60,41,8413,7988,200,815,2,69,18,1199,-1
54,10122.0,9821.3,772.66,1047.89,2,2,50,50,1,1,60,26,8220,8169,0,792,6,0,0,1720,-1
55,10122.0,9821.3,1091.44,1233.24,3,2,50,50,4,1,60,65,2894,2592,106,760,46,143,0,6679,-1
56,10122.0,9821.3,1171.33,1354.94,2,2,50,50,3,1,60,56,5380,5190,51,225,93,372,0,5300,-1
57,9916.0,9933.1,1148.52,1504.59,2,3,50,50,2,2,60,58,5212,5032,64,302,4,87,2,5452,-1
58,9916.0,9933.1,1294.34,1669.63,2,3,50,50,2,4,60,54,5413,4872,188,599,59,170,4,5117,-1
59,9916.0,9933.1,1349.69,1748.22,2,2,50,50,1,4,60,40,7855,5832,219,778,112,125,1,902,-1
60,9916.0,9933.1,1374.6,1738.22,2,2,50,50,1,4,60,49,9573,7488,205,462,130,51,4,413,-1
61,9916.0,9933.1,1361.76,1710.53,2,2,50,50,1,4,60,62,9285,8309,59,418,124,165,0,1244,-1
62,9916.0,9933.1,1411.49,1701.35,2,2,50,50,1,3,60,57,8135,6706,257,614,220,177,2,1527,-1
63,9916.0,9933.1,1600.51,1902.12,3,3,50,50,1,3,60,80,3490,2771,74,2168,425,337,3,4103,-1
64,9916.0,9821.3,1700.91,1976.82,2,2,50,50,1,3,60,66,6016,5093,185,1311,253,712,6,3726,-1
65,10221.0,9821.3,1765.96,2026.61,3,2,50,50,2,3,60,59,6316,5590,45,1575,46,178,1,2646,-1
66,10221.0,9821.3,1903.3,2132.23,3,3,50,50,2,4,60,71,4483,4161,45,2231,415,344,4,3753,-1
67,10221.0,9821.3,1928.11,2155.89,2,2,50,50,2,4,60,62,7161,6434,54,1344,168,260,1,2228,-1
68,10221.0,9821.3,2127.47,2338.2,2,2,50,50,2,4,60,70,2178,2026,37,1283,32,214,1,7615,-1
69,10221.0,9821.3,2320.54,2469.37,3,3,50,50,2,4,60,66,2160,2133,10,1546,268,67,1,7243,-1
70,10221.0,9821.3,2217.65,2469.44,2,2,50,50,2,4,60,51,7782,7226,34,1243,238,59,2,1160,-1
71,10221.0,9821.3,2304.57,2512.4,2,2,50,50,2,4,60,65,4138,3743,84,1740,313,583,3,4022,-1
72,10221.0,9821.3,2341.93,2537.62,2,2,50,50,2,4,60,71,3819,3751,19,1856,470,145,4,5739,-1
73,10221.0,9821.3,2512.97,2655.64,3,2,50,50,1,4,60,61,1912,1892,7,1083,69,171,0,8025,-1
74,10221.0,9821.3,2614.1,2695.18,2,2,50,50,1,4,60,72,3112,3100,4,1010,68,19,3,6806,-1
75,10221.0,9821.3,2642.21,2737.99,2,2,50,50,1,4,60,72,2678,2628,21,1482,56,214,3,6357,-1
76,10221.0,9821.3,2809.29,2916.44,2,3,50,50,1,5,60,72,514,499,6,635,25,53,0,10354,-1
77,10221.0,9821.3,2930.18,3057.38,2,2,21,22,1,5,3,39,489,489,0,456,0,0,0,3846,-1
78,10221.0,9821.3,2898.14,3078.38,2,2,23,28,1,5,11,34,2484,2483,0,574,41,10,1,2502,-1
79,10221.0,9821.3,3060.17,3205.19,2,2,25,21,1,5,6,43,1069,1069,0,658,33,0,0,3066,-1
80,10456.6,9821.3,3144.32,3310.8,3,3,50,50,2,5,60,76,1884,1792,25,858,153,302,0,7765,-1
81,10456.6,9821.3,3263.41,3369.99,2,2,50,50,2,5,60,78,2052,2042,3,1094,140,64,1,7366,-1
82,10456.6,9821.3,3336.05,3447.34,2,2,50,50,2,5,60,70,2120,2050,21,926,90,319,0,7555,-1
83,10456.6,9821.3,3463.62,3455.54,2,2,50,50,2,5,60,77,1987,1949,10,1150,274,304,0,6936,-1
84,10456.6,9821.3,3480.81,3500.11,2,2,50,50,2,5,60,58,2801,2186,137,987,95,536,0,6749,-1
85,10456.6,9821.3,3477.14,3596.74,3,3,50,50,3,4,60,75,2615,2210,119,918,166,733,0,7214,-1
86,10456.6,10106.5,3522.45,3690.26,2,3,50,50,3,5,60,71,2459,2059,135,557,49,1189,0,8338,-1
87,10456.6,10106.5,3635.42,3823.65,3,3,50,50,3,6,60,71,591,514,28,397,18,429,0,10647,-1
88,10456.6,10286.6,3714.84,3887.07,3,3,50,50,2,5,60,71,939,868,16,358,9,244,0,10413,-1
89,10456.6,10286.6,3806.35,3914.79,2,2,50,50,2,5,60,73,435,233,15,276,15,1173,0,11085,-1
90,10456.6,10286.6,3869.32,3946.38,3,3,50,50,2,5,60,71,1694,986,17,130,18,1984,0,10083,-1
91,10456.6,10286.6,3957.71,4004.41,2,2,50,50,2,5,60,67,252,127,18,55,7,1250,0,11797,-1
92,10456.6,10286.6,4046.31,4055.59,3,3,50,50,3,7,60,69,591,462,29,144,5,414,0,11157,-1
93,10456.6,10286.6,4095.98,4148.44,2,2,50,50,3,7,60,80,705,288,40,184,7,1580,0,11039,-1
94,10456.6,10286.6,4145.59,4217.68,2,2,50,50,3,6,60,70,513,230,68,129,6,637,0,11377,-1
95,10456.6,10286.6,4116.7,4295.46,2,3,50,50,3,6,60,65,404,246,29,183,22,1197,0,11426,-1
96,10456.6,10106.5,4147.3,4360.87,2,2,50,50,3,5,60,61,981,868,19,187,223,249,0,10595,-1
97,10456.6,10106.5,4151.2,4365.15,2,2,50,50,3,4,60,65,769,538,25,308,95,586,0,10926,-1
98,10456.6,10106.5,4199.94,4337.24,3,3,50,50,4,5,60,57,2699,1915,150,428,193,679,0,8532,-1
99,10456.6,10106.5,4322.6,4442.75,3,3,50,50,7,6,60,68,3036,1966,187,257,180,1403,0,8379,-1
100,10338.3,10106.5,4278.41,4461.68,2,2,50,50,5,5,60,64,2656,1611,191,469,232,1952,3,8298,-1
101,10338.3,10135.0,4390.12,4505.67,3,3,50,50,6,7,60,69,1690,958,137,449,618,1569,1,8682,-1
102,10338.3,10288.3,4487.29,4497.59,3,3,50,50,8,7,60,55,1154,910,45,202,188,960,0,10666,-1
103,10338.3,10288.3,4442.04,4511.22,3,3,50,50,8,8,60,59,4235,2392,232,147,417,1764,0,6743,-1
104,10221.0,10288.3,4374.32,4552.36,3,3,50,50,8,10,60,51,5089,3030,286,129,46,1534,0,6444,-1
105,10221.0,10288.3,4437.0,4593.54,3,3,50,50,9,12,60,62,4166,1377,164,160,96,2208,0,7414,-1
106,10221.0,10288.3,4458.39,4549.69,3,2,50,50,9,10,60,48,4293,1982,208,662,327,1775,1,4504,-1
107,10221.0,10288.3,4509.8,4399.33,3,2,50,50,11,8,60,52,6337,2112,209,159,296,1700,1,4895,-1
108,10221.0,10288.3,4469.07,4349.0,3,2,50,50,11,8,60,62,4832,2222,149,129,223,1949,2,6626,-1
109,10221.0,10288.3,4415.01,4298.1,2,2,50,50,10,8,60,46,7299,3691,422,519,495,884,0,2631,-1
110,10221.0,10288.3,4263.98,4183.42,2,2,50,50,9,8,60,47,4852,2083,143,367,971,1195,1,3114,-1
111,10221.0,10288.3,4232.39,4178.47,3,2,50,50,9,7,60,55,4450,2881,100,506,1163,1150,3,3920,-1
112,10221.0,10288.3,3962.0,4078.68,2,2,50,50,7,6,60,32,8142,4413,285,184,647,540,4,1220,-1
113,10368.0,10288.3,3945.34,3996.42,3,3,50,50,8,5,60,39,7372,3934,474,195,853,837,1,2525,-1
114,10368.0,10288.3,3957.56,3996.94,3,3,50,50,9,6,60,45,8893,4550,279,144,15,1172,1,2897,-1
115,10368.0,10288.3,3975.11,3914.57,3,3,50,50,9,6,60,49,6912,2710,28,73,54,1589,2,4837,-1
116,10368.0,10288.3,3993.34,3958.32,2,3,50,50,9,7,60,48,5801,3270,279,139,3,1933,0,6095,-1
117,10368.0,10288.3,3966.26,4015.38,3,3,50,50,9,8,60,62,3830,1898,323,93,36,2451,0,8026,-1
118,10368.0,10288.3,3990.73,4053.0,3,2,50,50,8,8,60,61,3644,1678,401,209,12,2308,0,8214,-1
119,10368.0,10288.3,3986.45,4053.65,3,3,50,50,9,9,60,49,4308,1878,432,183,77,2036,0,7536,-1
120,10368.0,10288.3,3981.18,4082.53,3,3,50,50,7,8,60,61,3849,2420,272,216,136,1981,0,8148,-1
121,10221.0,10288.3,3909.53,4153.31,3,3,50,50,4,9,60,61,4997,3109,472,389,49,2142,1,7046,-1
122,10221.0,10288.3,3953.73,4301.1,2,3,50,50,4,11,60,69,3717,1354,453,460,43,2525,2,7323,-1
123,10221.0,10288.3,3946.38,4293.26,3,2,50,50,4,11,60,68,2598,1415,254,380,29,2397,1,8819,-1
124,10221.0,10288.3,3968.74,4253.64,3,3,50,50,5,12,60,62,7085,4018,618,535,6,1342,6,4247,-1
125,10073.3,10288.3,3948.16,4255.28,3,3,50,50,4,11,60,62,4939,2839,429,422,35,1769,0,6108,-1
126,10073.3,10288.3,3791.72,4257.5,2,2,50,50,4,11,60,24,10424,5811,1296,285,77,287,1,960,-1
127,10073.3,10288.3,3710.07,4181.8,3,2,50,50,4,10,60,41,9163,5634,1094,417,183,525,4,1290,-1
128,10073.3,10288.3,3807.89,4131.68,2,2,20,50,4,10,30,39,5472,2754,149,69,10,725,0,2032,-1
129,10073.3,10288.3,3801.66,4007.6,2,2,29,50,3,8,39,47,3704,1918,77,158,18,1306,0,3328,-1
130,10073.3,10288.3,3879.25,4044.86,3,3,50,50,3,7,60,71,1092,487,110,124,8,1927,0,10064,-1
131,10132.3,10288.3,3942.26,4041.04,3,2,50,50,4,6,60,59,2956,1040,183,178,4,1676,0,7605,-1
132,10132.3,10288.3,4050.53,4025.15,3,2,46,50,6,5,56,69,2609,1189,96,97,7,2187,5,7989,-1
133,10132.3,10288.3,4081.96,4071.28,2,2,50,50,6,4,60,56,2064,649,78,140,16,1543,0,8570,-1
134,10132.3,10288.3,4082.4,4007.85,2,2,44,24,5,3,28,35,1705,678,255,22,7,783,1,6666,-1
135,10132.3,10288.3,3979.27,3942.72,2,2,24,50,4,3,34,31,3668,1238,25,13,4,663,0,2116,-1
136,10132.3,10288.3,4034.8,3829.75,3,3,50,50,6,3,60,49,6444,3200,14,76,9,1026,1,4888,-1
137,10132.3,9758.7,3845.17,3722.42,2,2,28,50,5,1,38,27,7854,2737,48,17,7,346,5,1588,-1
138,10132.3,9758.7,3680.92,3636.5,2,2,26,50,5,1,36,38,5027,1688,45,33,32,1232,2,3903,-1
139,10132.3,10106.4,3705.08,3692.09,2,3,50,50,5,2,60,48,6001,1723,24,68,19,905,1,5739,-1
140,10132.3,10106.4,3632.44,3588.3,2,2,20,21,5,2,1,23,3796,1110,21,24,0,138,4,1122,-1
141,10132.3,10106.4,3617.94,3627.64,2,2,25,33,4,2,18,40,5057,484,175,89,17,479,1,1848,-1
142,10132.3,10106.4,3773.78,3740.14,3,3,50,50,5,3,60,66,4472,1000,196,115,5,1523,0,6548,-1
143,10132.3,10106.4,3771.59,3642.75,2,2,50,50,4,2,60,49,8151,2604,530,81,3,831,1,3202,-1
144,10132.3,10132.2,3827.18,3740.12,3,3,50,50,4,3,60,58,3655,545,50,53,1,1731,0,7950,-1
145,10132.3,10132.2,3817.04,3782.26,3,3,50,50,3,3,60,69,3019,913,109,77,2,2056,0,7973,-1
146,10132.3,10106.4,3918.48,3720.63,3,3,50,50,6,2,60,68,2720,866,36,41,17,1706,0,8561,-1
147,10132.3,10106.4,3867.19,3779.04,3,2,50,50,5,2,60,60,2860,1055,253,70,7,1718,1,8629,-1
148,10132.3,10106.4,3960.6,3810.3,3,3,50,50,6,1,60,66,2093,691,184,41,24,1931,1,8673,-1
149,10132.3,10106.4,3937.7,3845.22,3,3,50,50,7,2,60,64,4134,1702,302,71,18,1469,0,7495,-1
150,10132.3,10106.4,3978.51,3822.78,3,2,50,50,7,2,60,62,3390,1176,195,107,2,1997,0,9082,-1
151,10226.4,10106.4,4021.56,3749.62,3,3,50,50,10,2,60,58,4215,1691,253,74,0,1316,1,7204,-1
152,10226.4,10106.4,3875.4,3664.2,3,3,50,50,8,3,60,33,9006,4301,480,93,2,647,0,2537,-1
153,10226.4,10106.4,3847.75,3730.17,2,3,50,50,6,5,60,57,4266,1825,376,107,23,2026,3,11443,-1
154,10132.3,10106.4,3802.63,3797.4,2,2,50,50,6,5,60,52,4918,2154,637,106,7,1310,0,6521,-1
155,10132.3,10106.4,3927.81,3786.25,2,2,50,50,6,4,60,65,4298,1712,584,70,1,1490,6,9616,-1
156,10132.3,10299.8,3960.86,3853.71,3,3,50,50,5,5,60,53,4547,1598,88,93,0,1425,4,7401,-1
157,10132.3,10299.8,3890.55,3837.45,2,2,50,50,5,4,60,56,7001,2996,599,214,0,1043,2,5478,-1
158,10387.0,10299.8,3894.77,3887.0,3,2,50,50,5,4,60,53,6106,940,58,83,0,1388,0,6127,-1
159,10387.0,10299.8,3823.4,3879.59,2,2,50,50,5,4,60,52,6040,1021,83,98,0,1043,2,6141,-1
160,10387.0,10299.8,3832.13,3898.47,3,3,50,50,5,4,60,60,3802,833,152,143,0,1606,2,9420,-1
161,10387.0,10299.8,3795.35,3926.61,2,2,50,50,5,3,60,47,4069,580,91,26,0,1139,1,8217,-1
162,9956.6,10299.8,3724.21,3947.09,2,2,50,50,2,3,60,43,5457,722,9,78,0,663,3,4540,-1
163,9956.6,10299.8,3654.26,3853.83,2,2,26,50,2,3,36,37,6772,1639,0,1,0,318,5,1924,-1
164,9956.6,10299.8,3617.42,3715.37,2,2,50,50,2,2,60,46,8263,2148,1,12,0,550,0,3200,-1
165,9956.6,10299.8,3475.23,3586.42,2,2,28,50,2,2,38,37,7940,2089,0,7,0,94,0,721,-1
166,9956.6,10299.8,3475.83,3608.38,2,2,50,36,2,2,46,55,7199,452,0,15,0,324,1,2312,-1
167,9697.4,10299.8,3446.06,3614.65,2,3,20,22,1,3,2,28,3666,576,0,3,0,105,2,1765,-1
168,9697.4,10299.8,3449.78,3567.9,2,2,20,20,1,3,0,29,4232,576,0,0,0,87,0,665,-1
169,9697.4,10299.8,3458.48,3580.36,2,2,20,21,1,3,1,29,4111,473,0,0,0,85,1,856,-1
170,9697.4,10299.8,3471.98,3607.6,2,2,20,20,1,3,0,33,4366,243,0,0,0,16,0,301,-1
171,9697.4,10299.8,3443.15,3595.33,2,2,20,20,1,2,0,28,4050,635,0,0,0,166,1,550,-1
172,9697.4,10299.8,3392.7,3642.51,2,2,20,20,1,2,0,26,4574,615,0,1,0,20,0,183,-1
173,9697.4,10299.8,3388.04,3600.22,2,2,20,20,1,2,0,25,4436,870,0,51,0,94,0,224,-1
174,9697.4,10299.8,3348.98,3481.33,2,2,20,20,1,2,0,27,4257,1104,0,0,0,103,4,544,-1
175,9697.4,10299.8,3378.53,3466.09,2,2,20,20,1,2,0,24,4278,629,0,39,0,105,0,485,-1
176,9697.4,10299.8,3285.34,3360.93,2,2,20,20,1,2,0,21,4506,1029,0,0,0,20,0,271,-1
177,9697.4,10299.8,3363.67,3231.38,2,2,20,20,1,2,0,23,4701,689,0,4,0,18,2,177,-1
178,9697.4,10299.8,3351.38,3220.85,2,2,20,20,1,2,0,24,4058,568,0,0,0,96,0,174,-1
179,9697.4,10299.8,3337.61,3225.65,2,2,20,20,1,2,0,31,4136,389,0,4,0,233,1,304,-1
180,9697.4,10299.8,3452.29,3304.82,2,2,22,50,1,2,32,50,3171,357,0,22,0,985,0,5617,-1
181,9697.4,10299.8,3524.48,3385.22,2,2,20,20,1,2,0,35,2770,134,0,0,0,558,0,910,-1
182,9697.4,10299.8,3558.52,3478.28,2,3,24,20,1,4,4,43,1279,172,0,11,0,726,0,3550,-1
183,9697.4,10299.8,3621.43,3490.94,2,2,27,20,1,3,7,40,3344,130,0,14,0,606,0,1307,-1
184,10521.9,10299.8,3720.32,3608.84,3,2,50,50,3,3,60,64,2896,208,0,29,0,1352,0,8396,-1
185,10521.9,10299.8,3811.04,3744.33,2,2,50,50,3,3,60,79,1419,299,0,29,0,1353,0,11372,-1
186,10521.9,10299.8,3776.86,3770.43,2,2,50,50,2,3,60,74,4456,656,1,47,0,1740,0,6798,-1
187,10521.9,10299.8,3833.98,3794.43,2,2,50,50,2,2,60,70,1526,313,0,58,0,1292,0,10431,-1
188,10521.9,10299.8,3943.88,3847.17,3,3,50,50,2,2,60,71,2331,323,0,114,0,2632,0,6155,-1
189,10521.9,10299.8,3995.23,3903.17,2,2,50,50,2,2,60,76,2098,416,0,148,1,2860,1,6776,-1
190,10521.9,10181.9,4003.66,3867.63,2,2,23,21,2,1,4,27,2379,302,0,142,0,847,1,793,-1
191,10521.9,10181.9,3956.63,3855.26,2,2,27,50,1,1,37,50,5018,1088,0,332,0,1000,1,2329,-1
192,10521.9,10181.9,3987.22,3799.4,2,2,50,50,1,1,60,46,4643,478,0,424,0,865,2,5361,-1
193,5234.4,10181.9,3944.89,3743.03,2,2,50,50,25,1,60,55,7378,605,0,333,0,820,3,2095,-1
194,5234.4,10181.9,4028.74,3737.81,2,2,50,50,25,1,60,45,4603,311,0,558,0,752,1,2416,-1
195,5234.4,10181.9,3985.48,3725.56,2,2,50,50,25,1,60,59,4104,298,0,474,0,1683,0,4393,-1
196,5234.4,10181.9,3966.76,3736.68,2,2,50,50,25,1,60,47,3942,549,0,449,0,1269,5,2746,-1
197,5234.4,10181.9,3920.26,3715.81,2,2,50,50,25,1,60,47,5004,744,0,465,0,936,3,1602,-1
198,5234.4,10181.9,3875.39,3618.53,2,2,50,50,25,1,60,29,2769,783,7,410,0,449,3,1385,-1
199,5234.4,10181.9,3802.44,3529.68,2,2,50,50,25,1,60,33,3613,529,0,536,0,648,12,567,-1
200,5231.5,10181.9,3794.43,3466.33,2,2,50,50,25,1,60,54,5374,382,1,252,0,1064,2,1709,-1
201,5231.5,10181.9,3670.71,3369.48,2,2,50,50,25,1,60,19,4279,763,0,169,0,396,0,101,-1
202,5231.5,10181.9,3671.78,3295.89,2,2,50,50,25,1,60,34,3145,624,0,151,0,1162,1,3932,-1
203,5221.0,10181.9,3697.99,3346.12,2,2,50,50,25,1,60,37,4615,988,103,188,0,938,2,2915,-1
204,5221.0,10181.9,3715.03,3493.98,2,2,50,50,25,1,60,41,4918,312,1,18,0,633,1,1852,-1
205,5221.0,10181.9,3589.7,3469.92,2,2,50,50,25,1,60,29,4487,943,0,253,0,860,3,1095,-1
206,5221.0,10181.9,3483.08,3362.93,3,3,50,50,25,1,60,44,5606,956,20,207,0,1162,1,4241,-1
207,5221.0,10181.9,3409.05,3399.73,2,2,50,50,25,1,60,34,4372,769,0,167,0,1012,3,457,-1
208,5221.0,10181.9,3333.2,3347.99,3,2,50,50,25,1,60,36,3705,1308,19,119,0,1180,5,887,-1
209,5221.0,10181.9,3281.28,3341.87,2,2,50,50,25,1,60,44,1538,436,2,334,1,1386,5,3259,-1
210,5102.4,10181.9,3153.24,3136.35,2,2,50,50,25,1,60,23,2859,1296,1,177,0,572,0,838,-1
211,5102.4,5558.5,3162.13,3134.69,2,2,50,50,25,25,60,56,1666,441,23,1230,2,2224,8,6468,-1
212,5311.9,5558.5,3174.43,3286.45,2,2,50,50,25,25,60,62,1964,1067,0,706,23,1357,1,6851,-1
213,5999.9,5558.5,3287.99,3314.58,2,2,50,50,14,25,60,57,2678,395,9,818,81,2421,0,9340,-1
214,5999.9,9880.3,3333.8,3448.88,3,3,50,50,18,1,60,57,3350,328,29,530,73,2755,1,7640,-1
215,7526.4,9880.3,3396.8,3443.56,2,2,50,50,1,1,60,51,2162,417,88,1139,87,1905,3,9758,-1
216,7526.4,9880.3,3518.59,3639.88,2,2,50,50,1,1,60,64,3645,669,190,1433,1,5704,2,17586,-1
217,7526.4,9880.3,3672.55,3737.37,2,2,50,50,1,1,60,68,1679,582,236,1028,5,4696,1,18145,-1
218,13488.7,11795.9,3854.93,3883.38,3,3,50,50,1,1,60,63,1269,464,104,1110,7,3508,0,28697,-1
219,13488.7,11795.9,4040.07,3973.61,3,2,50,50,1,1,60,64,2046,637,163,1201,20,6909,1,29170,-1
220,13488.7,11795.9,4161.7,4038.12,3,3,50,50,1,1,60,50,122,72,37,119,0,161,0,17344,-1
221,13488.7,11795.9,4287.62,4252.7,2,3,50,50,1,1,60,70,3272,654,256,785,25,9183,0,27074,-1
222,13488.7,11795.9,4386.05,4340.31,3,2,50,50,2,1,60,72,5099,1027,445,1093,30,7989,3,25434,-1
223,12745.5,11795.9,4481.26,4369.64,2,2,50,50,2,1,60,57,6971,1317,915,1182,23,5512,1,13287,-1
224,12745.5,11795.9,4551.15,4466.52,3,3,50,50,2,1,60,57,4546,1032,579,558,14,4318,6,14632,-1
225,11852.3,11795.9,4552.95,4499.83,2,2,50,50,1,1,60,51,4006,833,354,876,27,5401,4,18272,-1
226,11852.3,11795.9,4548.1,4504.7,3,3,50,50,1,1,60,68,3893,2218,547,423,10,4031,9,16041,-1
227,11852.3,11795.9,4604.89,4527.6,2,3,50,50,1,1,60,71,3695,1979,525,513,13,4328,7,22417,-1
228,11852.3,11795.9,4550.41,4475.75,3,3,50,50,1,1,60,63,3512,3428,28,260,4,394,2,10919,-1
