gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,teammates_reach,winner
0,4946.9,4375.9,67.3,83.54,2,2,50,50,2,3,60,8,7743,5556,1203,274,14,49,0,2108,-1
1,5038.1,5553.1,238.45,213.49,2,2,50,50,6,2,60,16,2389,2262,36,19,1,256,1,3294,-1
2,5038.1,5553.1,425.17,325.28,2,2,50,50,12,3,60,14,2325,2122,142,4,0,29,4,1863,-1
3,4945.5,5553.1,394.0,340.78,2,2,50,50,13,3,60,15,5372,5329,21,8,0,0,0,1059,-1
4,5378.7,5553.1,602.72,442.74,2,2,50,50,20,7,60,37,2322,1670,208,14,7,1160,8,4972,-1
5,10626.1,9966.4,781.92,638.73,3,3,50,50,1,1,60,41,2019,1508,133,265,101,1319,2,5051,-1
6,10626.1,9966.4,1064.72,895.41,3,3,50,50,1,1,60,52,880,725,39,341,80,1162,3,14093,-1
7,10626.1,9966.4,1325.85,1212.36,2,2,50,50,1,1,60,49,820,594,73,99,255,1284,4,10581,-1
8,10907.1,9966.4,1661.2,1469.56,3,2,50,50,3,1,60,47,317,112,20,45,6,524,1,17652,-1
9,10907.1,9966.4,1875.09,1678.19,3,3,50,50,3,1,60,46,1418,950,0,104,36,2263,0,22949,-1
10,10907.1,9966.4,2038.95,1912.02,2,2,50,50,3,1,60,47,3195,2341,53,458,102,5120,1,26977,-1
11,10907.1,12213.0,2214.99,1994.7,3,3,50,50,6,1,60,41,2591,1933,106,1457,446,1523,3,13853,-1
12,10907.1,12213.0,2257.97,2095.21,3,3,50,50,6,1,60,47,9425,7014,237,761,163,3774,3,23460,-1
13,10907.1,12213.0,2377.48,2179.34,3,3,50,50,6,2,60,53,3279,2435,200,419,362,1423,5,14969,-1
