gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,winner
0,2334.6,2334.6,295.55,308.06,2,2,50,50,6,8,-1
1,2483.9,2443.4,312.56,303.42,2,2,50,50,6,8,-1
2,2465.4,2415.4,385.09,374.75,2,2,50,50,10,10,-1
3,2223.2,2423.2,311.8,340.93,2,2,50,50,10,9,-1
4,2338.2,2338.2,300.65,330.2,2,2,50,50,5,8,-1
5,3337.7,2437.7,350.68,361.78,3,2,50,50,4,10,-1
6,2378.6,2517.1,438.68,443.44,2,2,50,50,10,10,-1
7,2497.8,2462.4,456.12,460.54,2,2,50,50,10,10,-1
8,2483.8,2580.7,448.22,433.02,2,2,50,50,10,10,-1
9,2383.8,2483.8,391.36,393.13,2,2,50,50,10,10,-1
10,2436.3,2436.0,407.64,384.03,2,2,50,50,10,10,-1
11,2449.4,2431.7,443.42,433.35,2,2,50,50,10,10,-1
12,3276.8,2493.8,461.56,442.09,3,3,50,50,10,10,-1
13,2513.4,2433.2,448.87,456.84,2,2,50,50,10,10,-1
14,2481.5,2491.3,448.61,461.18,2,3,50,50,10,10,-1
15,3467.2,3483.3,453.99,452.32,3,3,50,50,4,2,-1
16,2380.5,2468.7,407.32,440.27,2,2,50,50,10,10,-1
17,2475.8,2431.6,455.58,455.85,3,3,50,50,10,10,-1
18,2525.4,3350.4,450.02,444.72,2,3,50,50,10,4,-1
19,2498.0,2443.9,414.39,436.01,2,2,50,50,10,10,-1
20,2485.1,2469.2,449.44,443.53,2,2,50,50,10,10,-1
21,2426.7,2577.8,442.45,454.54,2,2,50,50,10,10,-1
22,2391.9,2459.4,439.14,454.37,2,2,50,50,10,10,-1
23,2436.3,2494.0,438.12,409.3,3,2,50,50,10,10,-1
24,3306.4,3475.6,456.42,441.24,3,3,50,50,8,2,-1
25,2477.7,2377.7,403.76,414.32,2,2,50,50,10,10,-1
26,2436.2,2474.3,423.67,432.19,2,2,50,50,10,10,-1
27,3645.1,2367.2,419.94,419.8,3,2,50,50,2,10,-1
28,3325.8,2499.9,460.26,445.58,3,2,50,50,7,10,-1
29,2472.3,2478.7,429.47,446.18,2,2,50,50,10,10,-1
30,2481.4,2437.1,410.51,430.32,2,2,50,50,10,10,-1
31,2411.4,2463.3,456.31,449.76,2,2,50,50,10,10,-1
32,3318.6,3208.6,455.65,448.65,3,3,50,50,5,10,-1
33,2550.4,2500.4,455.62,448.67,2,2,50,50,10,10,-1
34,3692.4,3752.0,470.99,487.98,3,3,50,50,2,2,-1
35,2385.1,3623.3,438.05,452.21,3,3,50,50,10,2,-1
36,2470.9,2478.1,442.56,434.19,2,2,50,50,10,10,-1
37,3295.4,3575.5,444.97,453.14,3,3,50,50,10,1,-1
38,2386.4,2399.2,417.86,432.12,2,2,50,50,10,10,-1
39,2365.7,2553.5,442.47,449.03,3,2,50,50,10,10,-1
40,3609.3,3580.2,452.99,419.22,3,3,50,50,1,2,-1
41,3263.8,3321.0,455.48,468.47,3,3,50,50,9,9,-1
42,2423.3,3586.9,451.11,470.09,3,3,50,50,10,1,-1
43,3536.4,3359.0,485.2,472.01,3,3,50,50,2,7,-1
44,3539.2,2481.8,489.69,465.26,3,3,50,50,2,10,-1
45,3332.1,3370.4,436.7,438.3,3,3,50,50,6,5,-1
46,2578.3,2428.3,372.72,369.48,2,2,50,50,10,10,-1
