gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,winner
0,78541.06666666667,78911.76666666668,75985.57,76365.37,2,2,-1
1,38628.9,38590.0,35449.33,35773.96,2,2,-1
2,23774.13333333333,23913.666666666668,17012.74,19178.23,3,3,-1
3,39613.666666666664,40381.53333333333,30385.08,32571.0,2,3,-1
4,30987.5,31166.666666666668,22216.8,23333.43,2,2,-1
5,41086.666666666664,41093.9,25268.74,29033.43,3,3,-1
6,100873.63333333333,100855.06666666667,54474.55,55917.72,3,3,-1
7,54739.4,54801.63333333334,35683.64,30774.57,3,3,-1
8,71122.83333333333,71148.16666666667,36577.51,39667.15,3,3,-1
9,127324.06666666667,127603.06666666667,64570.05,69211.75,3,3,-1
10,146667.96666666665,147118.26666666666,78011.47,90027.92,3,3,-1
11,121762.1,121536.36666666667,55758.25,70103.7,3,3,-1
12,125161.4,124738.86666666667,63530.34,64093.9,4,4,-1
13,77861.5,79312.0,44021.14,41916.53,3,4,-1
14,26193.9,26441.93333333333,17172.67,15439.42,3,3,-1
15,28228.8,28401.43333333333,17776.98,17263.87,3,3,-1
16,7586.1,7933.366666666666,5022.5,4528.15,3,3,-1
17,39131.46666666667,39152.26666666666,23067.98,24374.87,3,3,-1
18,12741.333333333334,12950.833333333334,7957.64,9156.21,3,3,-1
19,21908.466666666667,22245.4,12280.96,12051.18,3,3,-1
20,18046.1,17853.666666666668,10446.29,9836.33,3,3,-1
21,52576.566666666666,52810.53333333333,32866.88,29083.42,3,3,-1
22,12520.2,12805.133333333333,9519.08,9335.27,3,3,-1
23,11654.966666666665,11871.633333333333,6201.81,5612.23,3,3,-1
24,15258.466666666665,15267.1,8826.42,7249.38,3,3,-1
25,137407.46666666665,137408.96666666665,98431.2,74929.72,3,3,-1
26,63255.833333333336,63565.833333333336,38866.38,39202.71,3,3,-1
27,12450.966666666665,12674.066666666666,8769.14,7829.09,3,3,-1
28,14838.566666666666,15005.233333333334,11318.18,9266.68,3,3,-1
29,6365.7,6354.5,2890.63,3085.04,3,3,-1
30,22094.233333333334,22173.56666666667,14104.31,12310.07,3,3,-1
31,8867.766666666666,8815.766666666666,4830.63,4479.26,3,3,-1
32,24601.5,24585.6,18249.3,14200.68,4,4,-1
33,30541.8,29802.6,16506.13,13710.82,4,4,-1
34,42051.0,42242.4,27763.55,19569.43,4,4,-1
35,32931.2,32262.0,21886.86,15151.61,4,4,-1
36,56721.7,57221.9,47536.03,37271.31,4,4,-1
37,122938.36666666667,122955.23333333332,99180.38,75294.14,4,3,-1
38,41787.96666666667,41813.73333333334,36749.66,31944.17,3,3,-1
39,6661.4,6495.733333333334,4111.37,3605.23,3,3,-1
40,29001.033333333333,28825.43333333333,21847.17,15232.66,3,3,-1
