gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,winner
0,2149.8,2149.8,117.98,112.18,2,2,-1
1,2249.7,2249.7,121.58,116.98,2,2,-1
2,2242.8,2250.0,125.82,133.05,2,2,-1
3,2286.4,2236.4,133.99,133.63,2,2,-1
4,2299.8,2149.8,126.98,115.38,2,2,-1
5,2143.4,2236.3,129.15,123.9,2,2,-1
6,2241.8,2245.8,138.41,134.96,2,2,-1
7,2219.4,2369.4,126.05,119.17,2,2,-1
8,2350.0,2282.1,145.61,136.13,2,2,-1
9,2249.6,2249.6,121.57,113.57,2,2,-1
10,2235.7,2336.0,130.78,133.71,2,2,-1
11,2295.3,2295.3,129.26,126.23,2,2,-1
12,2374.9,2374.9,133.05,129.75,2,2,-1
13,2330.8,2250.0,125.84,125.46,2,2,-1
14,2293.2,2243.2,134.89,118.66,2,2,-1
15,2237.2,2336.8,128.15,119.4,2,2,-1
16,2336.4,2286.4,142.36,150.64,2,2,-1
17,3285.6,3200.0,131.07,137.51,3,3,-1
18,2233.5,2332.1,127.78,123.24,2,2,-1
19,2488.6,2339.1,136.95,127.17,2,2,-1
20,2338.6,2335.6,142.8,144.32,2,2,-1
21,2281.7,2298.6,161.21,149.05,2,2,-1
22,2389.8,2377.7,157.21,163.43,2,2,-1
23,2234.9,2372.7,149.74,148.49,2,2,-1
24,2237.0,2346.5,160.18,161.69,2,2,-1
25,3120.2,2325.5,173.49,167.34,3,2,-1
26,2381.7,2345.9,155.17,154.68,2,2,-1
27,2328.0,3226.0,165.75,179.71,3,3,-1
28,2385.4,2272.0,166.91,163.3,2,2,-1
29,2268.1,2400.0,165.23,158.62,2,2,-1
30,2382.7,2368.2,168.01,172.77,2,3,-1
31,2376.5,2376.5,172.86,168.88,2,2,-1
32,2244.5,2248.4,170.59,167.25,2,2,-1
33,2288.9,2334.1,145.17,154.48,2,2,-1
34,2377.9,3169.9,151.68,167.67,2,3,-1
35,2389.7,2250.0,153.14,141.03,2,2,-1
36,2367.6,2240.8,156.16,161.91,2,2,-1
37,2318.4,2331.0,158.01,150.43,2,2,-1
38,3104.1,2295.1,140.26,136.2,3,2,-1
39,2324.9,2324.9,140.09,136.84,2,2,-1
40,2332.5,2332.5,141.87,128.26,2,2,-1
41,2340.8,2474.5,145.94,160.95,2,2,-1
42,2328.8,2377.6,154.24,148.05,2,2,-1
43,2267.2,2250.0,140.43,142.48,2,2,-1
44,2333.3,2460.5,140.9,152.59,2,2,-1
45,2343.8,2473.6,151.39,153.54,2,2,-1
46,3136.1,2315.7,166.76,146.1,3,2,-1
47,3150.0,2313.9,170.5,158.11,3,2,-1
48,2393.5,3134.7,155.13,156.56,2,3,-1
49,2363.7,2384.0,146.79,173.49,2,2,-1
50,2331.1,3192.3,159.49,161.26,2,3,-1
51,2552.7,3240.9,167.25,149.74,3,3,-1
52,2323.2,2465.9,162.28,158.27,2,3,-1
53,2328.8,3221.2,162.89,158.49,3,3,-1
54,2390.3,2470.4,154.52,167.97,2,2,-1
55,2362.3,2262.3,160.68,151.1,2,2,-1
56,2281.5,2384.4,148.81,152.36,2,2,-1
57,2283.6,2324.7,160.21,159.65,2,2,-1
58,2328.9,2282.1,161.94,168.87,2,2,-1
59,2285.4,2385.4,147.08,151.71,2,2,-1
60,2425.6,2330.1,142.45,139.2,2,2,-1
61,2350.0,2340.0,147.86,137.8,2,2,-1
62,2375.4,2325.0,151.54,148.8,2,2,-1
63,2217.4,2210.1,144.63,148.29,2,2,-1
64,2383.8,2383.8,142.7,148.37,2,2,-1
65,2373.9,2323.9,132.02,149.18,2,2,-1
66,2387.1,2387.1,137.01,135.82,2,2,-1
67,2281.3,2248.5,129.33,137.23,2,2,-1
68,2366.6,2275.1,145.58,143.33,2,2,-1
69,2358.3,2461.6,147.3,133.12,2,2,-1
70,2241.8,2287.2,134.27,134.02,2,2,-1
71,2317.2,2237.1,145.86,151.42,2,3,-1
72,2320.1,2336.3,138.18,130.26,2,2,-1
73,2239.0,2387.3,139.46,147.21,2,2,-1
74,2343.1,2384.4,133.67,130.19,2,2,-1
75,2363.6,2265.9,148.5,145.03,2,2,-1
76,2371.0,2272.0,145.01,141.0,2,2,-1
77,2291.3,2391.3,129.36,135.74,2,2,-1
78,2286.3,2286.8,141.03,145.21,2,2,-1
79,2282.0,2331.7,122.65,148.61,2,2,-1
80,2366.6,2381.7,157.23,148.05,2,2,-1
81,2211.6,2357.1,147.78,157.33,2,2,-1
82,2288.6,2385.0,132.79,153.21,2,2,-1
83,2338.4,2391.4,154.2,162.26,2,2,-1
84,2305.9,2289.4,168.82,158.57,2,2,-1
85,2343.5,2235.5,173.92,160.73,2,2,-1
86,2371.4,2330.2,163.1,164.02,2,2,-1
87,2569.6,2368.9,160.6,169.15,2,2,-1
88,2317.8,2301.1,152.79,155.09,2,2,-1
89,2367.7,2407.3,154.12,146.54,2,2,-1
90,2277.8,2330.9,155.56,160.9,2,2,-1
91,2358.4,2462.8,163.35,155.92,2,2,-1
92,2272.9,2390.5,168.69,169.19,2,2,-1
93,2261.6,2311.6,148.95,145.9,2,2,-1
94,2481.9,2395.8,161.95,159.09,2,2,-1
95,2371.7,2375.5,166.35,164.39,2,2,-1
96,2343.0,2285.7,165.39,152.43,2,2,-1
97,2285.9,2335.9,147.07,131.75,2,2,-1
98,2329.7,2380.7,138.41,142.9,2,3,-1
99,2342.2,2229.9,145.65,134.14,2,2,-1
100,2290.5,2470.6,137.46,144.67,2,2,-1
101,2215.6,2319.8,162.0,163.95,2,2,-1
102,2317.8,2360.0,160.82,152.32,2,2,-1
103,2386.1,2250.0,166.3,164.25,2,2,-1
104,2464.9,2339.8,158.76,168.71,2,2,-1
105,2420.3,2385.4,138.71,158.22,2,2,-1
106,3120.5,3137.4,149.89,163.88,3,3,-1
