gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,winner
0,2053.8666666666663,2054.5666666666666,1199.52,1196.61,2,2,-1
1,2117.9333333333334,2051.2666666666664,1315.7,1290.0,2,2,-1
2,2119.8333333333335,2105.7333333333336,1398.21,1420.4,2,2,-1
3,2112.9333333333334,2131.5333333333333,1661.13,1502.23,2,2,-1
4,2173.3,2106.6333333333337,1983.37,1453.76,2,2,-1
5,2990.9,3185.7,1841.12,1515.25,3,3,-1
6,2185.2,2118.7333333333336,1959.85,1494.86,2,2,-1
7,2193.1,2199.2,1943.21,1412.3,2,2,-1
8,2174.7,2121.5333333333333,1809.33,1304.88,2,2,-1
9,2190.5,2176.1,1974.52,1608.15,2,2,-1
10,3120.3333333333335,2176.2,2093.64,1593.29,3,2,-1
11,3025.8666666666663,3031.9666666666667,2055.81,1967.54,3,3,-1
12,2982.3,2192.1,2103.93,1866.1,3,2,-1
13,2197.9,2196.0,1980.65,1863.1,2,2,-1
14,3187.2,3094.9333333333334,2081.13,2081.93,3,3,-1
15,3198.7,2928.6,2187.61,1981.68,3,3,-1
16,3117.9333333333334,3076.0333333333333,2076.3,2107.33,3,3,-1
17,3131.7333333333336,3094.2666666666664,2116.93,2101.46,3,3,-1
18,3119.9333333333334,3097.6333333333337,2090.42,2081.89,3,3,-1
19,3199.9,3100.0333333333333,2158.54,2144.63,3,3,-1
20,3118.1333333333337,3154.3666666666663,2127.17,2282.46,3,3,-1
21,3075.5333333333333,3062.8,2049.1,1868.54,3,3,-1
22,3179.3,3190.5,2198.11,2265.56,3,3,-1
23,3197.2,3172.4,2115.7,2361.23,3,3,-1
24,3165.5,2993.7666666666664,2022.93,1977.66,3,3,-1
25,3198.0,3100.7333333333336,2295.65,2296.23,3,3,-1
26,3193.6,3141.7,2225.61,2093.67,3,3,-1
27,3195.4,3128.5333333333333,2251.51,2089.52,3,3,-1
28,3123.3333333333335,3163.1,2187.97,2108.1,3,3,-1
29,3177.3,3045.8333333333335,2158.64,2000.15,3,3,-1
30,3105.7333333333336,3164.1666666666665,2119.41,2112.99,3,3,-1
31,3110.3333333333335,3133.3333333333335,2143.36,2265.34,3,3,-1
32,3196.4,3186.7,2010.51,2197.85,3,3,-1
33,3178.5,3199.4,2267.18,2326.62,3,3,-1
34,3128.1,3142.2,2233.96,2203.59,3,3,-1
35,3146.4666666666667,3188.9,2200.29,2212.03,3,3,-1
36,3194.5,3102.6333333333337,2259.9,2151.99,3,3,-1
37,2193.4,3141.4,2091.48,1941.55,2,3,-1
38,3136.2666666666664,3119.9333333333334,2169.48,2078.41,3,3,-1
39,2978.2333333333336,3027.7666666666664,2098.59,1623.55,3,3,-1
40,3099.1333333333337,3098.8333333333335,2105.31,1999.58,3,3,-1
41,3122.7333333333336,3126.7333333333336,2098.29,1946.48,3,3,-1
42,3104.5333333333333,3119.9666666666667,2050.31,1913.39,3,3,-1
43,3200.0,3153.0666666666666,2156.39,2057.35,3,3,-1
44,3194.5,3153.1666666666665,2166.55,2130.69,3,3,-1
45,3133.3333333333335,3131.3333333333335,2116.15,1964.91,3,3,-1
46,3128.3333333333335,3091.9333333333334,2115.01,2223.76,3,3,-1
47,3195.4,3126.4333333333334,2201.11,2448.27,3,3,-1
48,3103.8666666666663,3095.6,2130.54,2431.71,3,3,-1
49,3189.8,3117.5,2151.34,2264.18,3,3,-1
50,3117.7333333333336,3079.5333333333333,2046.61,2219.42,3,3,-1
51,3198.9,3930.1,2290.87,2314.86,3,4,-1
52,3107.8666666666663,3060.6666666666665,2123.99,2141.78,3,3,-1
53,3183.4,4015.3,2177.74,2361.29,3,4,-1
54,3143.8666666666663,3084.5333333333333,2240.22,2176.17,3,3,-1
55,2196.0,3059.1666666666665,2042.53,2181.44,2,3,-1
56,3190.7,3068.1,2053.46,1941.76,3,3,-1
57,3082.4333333333334,3056.5666666666666,2142.01,2546.88,3,3,-1
58,3191.0,3081.8,2208.24,2303.59,3,3,-1
59,3021.1,3066.6666666666665,2083.13,2394.11,3,3,-1
60,3165.8,3117.1333333333337,2170.38,2319.66,3,3,-1
61,3131.1333333333337,3114.9333333333334,2186.03,2420.61,3,3,-1
62,3193.1,3127.2333333333336,2211.43,2285.13,3,3,-1
63,3181.8,3123.5333333333333,2099.44,2660.43,3,3,-1
64,3043.8666666666663,3104.1333333333337,2126.5,2020.73,3,3,-1
65,3131.3333333333335,3057.8666666666663,2175.73,1886.81,3,3,-1
66,3101.0333333333333,3104.4333333333334,2153.69,2294.91,3,3,-1
67,3114.8333333333335,3099.0333333333333,2134.68,2168.97,3,3,-1
68,3115.8333333333335,3118.4333333333334,2164.52,2264.16,3,3,-1
69,3141.3666666666663,3050.9666666666667,2126.21,2276.42,3,3,-1
70,3120.3333333333335,3059.4,2174.78,2263.71,3,3,-1
71,3200.0,3074.4333333333334,2260.82,1948.88,3,3,-1
72,3101.9,3081.0,2135.76,1994.17,3,3,-1
73,3124.1333333333337,3126.9,2271.96,2102.65,3,3,-1
74,3121.1333333333337,3092.0333333333333,2132.82,2151.05,3,3,-1
75,3088.1,3087.2,2124.62,2213.51,3,3,-1
76,3133.3333333333335,3017.3666666666663,2226.43,1934.27,3,3,-1
