gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,winner
0,2382.9,2350.0,120.05,117.3,2,2,-1
1,2299.4,2249.4,126.56,123.35,2,2,-1
2,2146.9,2246.9,118.55,115.76,2,2,-1
3,2149.0,2499.0,115.32,122.32,2,2,-1
4,2287.4,2287.4,120.04,119.0,2,2,-1
5,1300.0,2149.6,103.97,109.77,1,2,-1
6,2399.8,2249.8,129.78,120.38,2,2,-1
7,2237.9,2250.0,133.07,126.59,2,2,-1
8,2482.1,2332.1,137.63,131.9,2,2,-1
9,2337.1,2334.4,142.63,137.67,2,2,-1
10,2487.8,2150.0,129.03,131.68,2,2,-1
11,2237.4,2287.4,123.61,130.99,2,2,-1
12,2384.1,2334.1,142.0,141.73,2,2,-1
13,2240.0,2335.4,150.3,156.64,2,2,-1
14,2285.2,2235.8,162.51,148.02,2,2,-1
15,2324.3,2315.8,148.94,150.52,2,2,-1
16,2209.4,2209.4,138.6,124.97,2,2,-1
17,2275.4,2500.0,139.51,151.62,2,2,-1
18,2239.2,2239.2,142.96,140.38,2,2,-1
19,2346.4,2346.4,149.72,134.13,2,2,-1
20,2269.8,2419.8,139.42,141.54,2,2,-1
21,3135.2,2335.2,158.55,145.75,3,3,-1
22,2237.4,2287.4,146.42,152.25,2,3,-1
23,2336.6,2486.4,140.11,135.51,2,2,-1
24,3134.1,3184.1,172.22,159.88,3,3,-1
25,2234.2,3131.7,124.62,145.31,3,3,-1
26,2288.3,3230.9,144.3,145.03,2,3,-1
27,2296.0,3141.5,169.93,167.88,3,3,-1
28,2381.0,2331.0,153.14,149.83,2,2,-1
29,2343.1,2292.8,149.87,150.63,2,2,-1
30,2389.0,2325.7,172.15,158.28,2,2,-1
31,2435.5,2373.2,164.11,165.14,3,3,-1
32,3135.5,2396.9,175.84,173.41,3,3,-1
33,3143.3,3250.0,140.09,147.7,3,3,-1
34,2389.5,2289.8,170.71,171.51,2,2,-1
35,3186.7,2386.7,166.44,174.88,3,2,-1
36,2337.0,2375.2,161.21,166.31,2,2,-1
37,2346.5,2344.8,161.75,159.87,2,3,-1
38,2333.3,2333.7,142.09,150.92,2,2,-1
39,2277.3,2475.4,140.51,164.74,2,2,-1
40,2284.0,2247.2,157.25,154.4,2,2,-1
41,2420.3,2370.3,152.86,160.7,2,2,-1
42,2340.2,2331.3,164.26,145.17,2,2,-1
43,2434.8,2334.8,147.1,156.95,2,2,-1
44,2399.4,3344.7,148.41,159.58,2,3,-1
45,2345.1,2384.6,152.09,154.8,2,2,-1
