gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,winner
0,2336.8,2336.8,277.36,288.9,2,2,50,50,2,4,-1
1,2349.1,2249.1,542.58,505.25,2,2,50,50,8,10,-1
2,2436.8,2436.8,790.32,676.68,2,2,50,50,10,9,-1
3,2487.0,2487.0,1030.24,938.22,2,2,50,50,10,10,-1
4,2490.0,2487.0,1220.34,1149.86,2,2,50,50,10,10,-1
5,2490.0,2539.0,1339.92,1389.74,2,2,50,50,10,10,-1
6,3239.1,3339.1,1401.33,1534.94,3,3,50,50,10,10,-1
7,3239.1,3339.1,1530.33,1554.74,3,2,50,50,10,10,-1
8,3239.1,3472.9,1627.89,1639.75,3,3,50,50,10,5,-1
9,2487.2,3472.9,1642.39,1723.25,2,3,50,50,10,5,-1
10,2487.2,3472.9,1654.74,1700.97,2,2,50,50,10,5,-1
11,3403.8,3472.9,1693.65,1786.41,3,3,50,50,4,5,-1
12,2577.2,3472.9,1826.92,1865.68,2,2,50,50,10,4,-1
13,2577.2,3472.9,1839.77,1971.38,2,2,50,50,10,7,-1
14,2577.2,3472.9,1919.82,2012.02,2,2,50,50,10,5,-1
15,2477.2,3472.9,1969.09,2000.34,2,2,50,50,10,4,-1
16,2477.2,3472.9,2038.47,1979.2,2,2,50,50,10,3,-1
17,2477.2,3472.9,2065.93,2018.67,3,2,50,50,10,2,-1
18,2477.2,3472.9,2016.87,2024.19,2,2,50,50,10,2,-1
19,2485.0,3472.9,1986.79,1996.28,2,2,50,50,10,2,-1
20,2477.2,3472.9,2012.56,1970.19,2,2,50,50,10,1,-1
21,2477.2,3472.9,2044.34,1998.92,2,3,50,50,10,1,-1
22,3250.0,3472.9,2059.6,2024.71,3,2,50,50,10,1,-1
23,3250.0,3472.9,2080.7,2054.28,2,2,50,50,10,3,-1
24,3388.7,3472.9,2073.98,2086.21,3,3,50,50,10,4,-1
25,3388.7,3472.9,2183.32,2119.98,3,3,50,50,10,5,-1
26,3388.7,3338.7,2205.18,2139.99,2,2,50,50,10,10,-1
27,3388.7,3338.7,2183.96,2157.81,2,3,50,50,10,10,-1
28,3388.7,3338.7,2196.19,2162.74,2,3,50,50,10,10,-1
29,3388.7,3338.7,2161.82,2135.77,3,3,50,50,10,10,-1
30,3388.7,3250.0,2148.7,2099.17,3,2,50,50,10,10,-1
31,3388.7,3250.0,2102.55,2030.93,2,2,50,50,10,10,-1
32,3388.7,3250.0,2109.91,1974.91,2,2,50,50,10,10,-1
33,3388.7,3250.0,2035.44,1973.06,2,2,50,50,10,10,-1
34,3388.7,2495.1,2060.98,1959.17,2,2,50,50,10,10,-1
35,3388.7,3338.1,2033.29,2006.25,3,3,50,50,10,10,-1
36,3388.7,3338.1,2091.27,2045.87,3,3,50,50,10,10,-1
37,3343.2,3410.7,2165.67,2066.66,3,3,50,50,10,7,-1
38,3391.4,3410.7,2178.02,2080.38,3,3,50,50,10,9,-1
39,3391.4,3374.7,2165.92,2086.86,2,3,50,50,10,10,-1
40,3391.4,3374.7,2175.37,2148.04,3,3,50,50,10,10,-1
41,3640.0,3374.7,2137.17,2094.26,3,2,50,50,5,10,-1
42,3640.0,3374.7,2100.08,2018.12,2,2,50,50,4,9,-1
43,3391.4,3400.0,2118.54,2072.24,2,3,50,50,10,10,-1
44,3391.4,3400.0,2176.07,2120.62,3,3,50,50,10,10,-1
45,3391.4,3400.0,2219.28,2177.89,2,3,50,50,10,10,-1
46,3391.4,3400.0,2232.72,2221.11,3,3,50,50,10,10,-1
47,3391.4,3400.0,2219.31,2254.6,3,3,50,50,10,10,-1
48,3391.4,3400.0,2212.88,2300.92,3,3,50,50,10,10,-1
49,3400.0,3400.0,2230.88,2306.23,3,3,50,50,10,10,-1
50,3400.0,3400.0,2240.79,2313.8,3,3,50,50,10,10,-1
51,3350.0,3400.0,2257.14,2277.8,3,3,50,50,10,10,-1
52,3350.0,3400.0,2219.85,2258.98,3,3,50,50,10,10,-1
53,3350.0,3400.0,2173.35,2178.41,2,2,50,50,10,10,-1
54,3350.0,3400.0,2081.85,2053.91,2,2,50,50,10,10,-1
55,3350.0,3414.5,2138.25,2101.96,3,3,50,50,10,10,-1
56,3350.0,3414.5,2141.29,2084.91,3,2,50,50,10,8,-1
57,3350.0,3414.5,2115.92,2052.96,2,3,50,50,10,10,-1
