gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,useless_drops,winner
0,2190.0,2196.6,34.44,17.01,2,2,50,50,13,11,60,5,8224,331,90,-1
1,2370.0,2437.7,43.63,76.68,2,2,50,50,8,8,60,5,5829,1234,152,-1
2,2521.0,2502.8,96.61,126.52,2,2,50,50,13,15,60,7,7901,623,108,-1
3,2597.3,2502.8,149.08,186.54,2,2,50,50,17,20,60,4,7306,259,64,-1
4,2597.3,3932.2,216.38,260.64,2,2,50,50,20,2,60,12,3096,339,87,-1
5,2597.3,3932.2,243.28,353.02,2,2,50,50,23,3,60,17,2203,777,256,-1
6,2521.0,3190.0,187.84,359.36,2,2,50,50,22,16,60,6,8009,355,23,-1
7,2521.0,3190.0,184.44,297.35,2,2,50,50,23,14,60,3,5989,313,116,-1
8,2521.0,3190.0,205.13,305.54,1,2,34,50,25,15,44,2,5512,273,92,-1
9,2521.0,3190.0,181.07,315.42,2,2,50,50,23,15,60,5,7105,335,35,-1
10,3589.7,3179.7,230.78,321.72,2,2,50,50,1,15,60,5,6385,698,89,-1
11,3589.7,3179.7,263.7,329.27,2,1,50,50,2,15,60,2,4456,3326,95,-1
12,3589.7,3179.7,349.38,390.31,2,1,50,50,2,16,60,1,2287,4577,124,-1
13,4122.0,3179.7,466.37,450.6,2,1,50,50,2,17,60,2,2035,5254,181,-1
14,4122.0,3179.7,548.13,516.44,2,2,50,50,2,17,60,3,6050,2137,200,-1
15,4122.0,3179.7,600.41,567.34,1,1,50,50,2,17,60,0,9548,886,118,-1
16,4122.0,3531.4,655.89,634.31,2,2,50,50,2,7,60,6,5283,2975,82,-1
17,4122.0,4120.0,738.06,786.9,2,2,50,50,3,4,60,30,1683,4914,26,-1
18,4122.0,3682.7,808.03,848.98,2,2,50,50,4,12,60,10,4425,2323,11,-1
19,4122.0,3682.7,885.92,964.25,2,2,50,50,5,12,60,6,3045,2133,10,-1
20,4122.0,3682.7,967.68,985.41,2,2,50,50,5,12,60,10,3659,2504,1,-1
21,4122.0,3682.7,1041.82,1077.67,2,2,50,50,9,13,60,13,6644,1796,53,-1
22,4122.0,4610.0,1162.53,1149.06,2,2,50,50,9,5,60,50,1347,2646,7,-1
23,4122.0,4610.0,1292.46,1256.88,2,2,50,50,13,4,60,42,891,3757,86,-1
24,5313.2,4610.0,1412.68,1367.66,3,2,50,50,2,4,60,58,1084,3961,105,-1
25,5062.8,4610.0,1556.92,1545.93,3,3,50,50,4,11,60,63,2158,4907,200,-1
26,5062.8,4610.0,1694.69,1672.88,3,3,50,50,7,17,60,66,949,5702,309,-1
27,5088.7,4706.1,1826.03,1793.97,2,2,50,50,12,16,60,76,1011,6105,123,-1
28,5088.7,4610.0,1859.3,1866.21,2,2,50,50,13,21,60,41,3982,2890,294,-1
29,5062.8,4492.5,1866.6,1869.56,2,2,50,50,11,25,60,36,4241,2345,163,-1
30,5062.8,4980.0,1908.87,1963.43,2,3,50,50,14,5,60,55,2334,3641,68,-1
31,5062.8,4980.0,2024.7,2030.54,3,2,50,50,16,7,60,65,1796,4559,188,-1
32,5557.6,4980.0,2171.35,2119.74,3,2,50,50,3,8,60,54,874,3930,91,-1
33,9489.1,8017.9,2258.4,2279.72,3,3,50,50,1,1,60,74,1363,6165,225,-1
34,9489.1,8017.9,2331.56,2278.8,2,3,50,50,1,1,60,77,486,3710,146,-1
35,14799.7,15413.2,2665.34,2527.35,4,3,50,50,2,1,60,78,3160,15745,1029,-1
36,14799.7,15413.2,2905.42,2623.78,3,3,50,50,2,1,60,75,2389,9524,273,-1
37,15026.9,15413.2,3091.56,2823.59,3,3,50,50,2,1,60,85,2203,11591,1065,-1
38,15026.9,15413.2,3075.23,2883.3,3,3,50,50,2,1,60,68,4868,3963,88,-1
39,15026.9,15413.2,3229.95,3087.26,3,3,50,50,2,1,60,88,1137,11699,901,-1
40,15026.9,10089.4,3248.47,3128.55,3,3,50,50,1,3,60,76,630,8186,352,-1
41,15026.9,10089.4,3314.03,3144.52,3,2,50,50,1,2,60,76,902,7888,392,-1
42,15026.9,10089.4,3367.98,3178.41,3,2,50,50,1,2,60,67,303,2619,28,-1
43,15026.9,10089.4,3416.41,3137.97,2,2,50,50,1,1,60,76,189,4225,1,-1
44,15026.9,8728.2,3392.13,3071.63,3,3,50,50,1,3,60,44,13,3557,4,-1
45,15026.9,8728.2,3388.69,3114.25,2,2,50,50,1,3,60,78,38,4516,13,-1
46,15026.9,8728.2,3448.5,3193.4,3,3,50,50,1,4,60,70,233,5845,13,-1
47,15026.9,8728.2,3539.09,3257.61,3,2,50,50,1,4,60,76,138,6049,105,-1
48,15026.9,8728.2,3578.59,3305.24,3,3,50,50,1,4,60,74,147,6512,67,-1
49,15026.9,8728.2,3605.38,3377.0,3,3,50,50,1,5,60,75,111,7213,34,-1
50,15026.9,8728.2,3551.76,3392.95,2,2,50,50,1,5,60,60,52,5234,58,-1
51,15026.9,8617.7,3425.47,3235.84,2,2,50,50,1,4,60,9,0,883,0,-1
52,15026.9,8617.7,3330.95,3169.0,2,2,50,50,1,4,60,34,8,2708,19,-1
53,15026.9,8617.7,3259.16,3113.02,2,2,50,50,1,4,60,27,0,2347,3,-1
54,15026.9,8617.7,3169.07,3062.44,2,2,50,50,1,4,60,15,1,1575,4,-1
55,15026.9,8617.7,3153.86,3043.0,2,2,50,50,1,4,60,61,33,4088,6,-1
56,15026.9,8617.7,3076.6,3008.94,2,2,50,50,1,4,60,39,11,1835,0,-1
57,15026.9,8617.7,2967.69,2984.92,2,2,50,50,1,4,60,26,5,1269,34,-1
58,15026.9,8617.7,2880.04,2897.88,3,3,50,50,1,3,60,30,0,1775,0,-1
59,9289.7,8617.7,2772.68,2827.7,2,2,50,50,2,3,60,13,0,1126,0,-1
60,9763.1,8617.7,2847.31,2864.99,3,2,50,50,3,2,60,54,146,6108,57,-1
61,9763.1,8617.7,2843.35,2868.67,3,2,50,50,3,2,60,48,72,3815,45,-1
62,9763.1,8617.7,2943.13,2894.8,3,3,50,50,3,1,60,72,352,4974,126,-1
63,9763.1,8617.7,2922.52,2884.99,3,3,50,50,3,1,60,65,153,3233,80,-1
64,9763.1,8617.7,2943.82,2900.65,3,3,50,50,3,1,60,73,33,2834,31,-1
65,9763.1,8617.7,2905.77,2916.5,2,3,50,50,2,1,60,59,19,2447,13,-1
66,9763.1,8617.7,2801.37,2815.13,2,2,50,50,2,1,60,9,0,429,0,-1
67,9763.1,7407.2,2838.77,2782.68,2,2,50,50,2,2,60,52,40,1331,1,-1
68,9763.1,7407.2,2736.55,2749.47,2,2,50,50,2,2,60,24,1,1286,0,-1
69,9763.1,7407.2,2705.46,2737.57,2,3,50,50,1,2,60,51,35,1166,0,-1
70,9763.1,7407.2,2617.23,2656.72,1,2,50,50,1,2,60,7,0,941,1,-1
71,9763.1,7407.2,2561.07,2617.93,2,2,50,50,1,2,60,24,133,443,10,-1
72,9763.1,7407.2,2493.25,2503.84,2,1,50,50,1,2,60,2,0,417,0,-1
73,9763.1,7407.2,2435.76,2420.77,2,2,50,50,1,2,60,15,88,254,0,-1
74,7205.3,7407.2,2331.83,2325.84,1,1,20,20,1,2,0,0,0,369,0,-1
75,7205.3,7407.2,2283.15,2252.59,1,2,20,20,1,2,0,2,0,481,0,-1
76,7205.3,7407.2,2225.64,2201.93,2,2,21,20,1,2,1,5,0,485,0,-1
77,7205.3,7407.2,2207.24,2163.75,2,2,20,20,1,2,0,8,0,224,0,-1
78,5313.6,7407.2,2102.31,2140.51,2,2,21,20,4,2,1,3,125,703,0,-1
79,5313.6,7407.2,2081.0,2131.93,2,2,50,50,4,2,60,9,152,325,0,-1
80,5313.6,7407.2,2056.51,2085.07,2,2,50,50,4,2,60,7,176,455,1,-1
81,5313.6,7407.2,2019.74,2070.21,2,2,50,50,4,2,60,15,162,643,0,-1
82,5313.6,7407.2,2050.2,2059.03,2,2,50,50,4,2,60,36,1340,1788,30,-1
83,5313.6,7407.2,2037.3,2040.02,2,2,50,50,4,2,60,11,332,863,38,-1
84,5313.6,7247.9,2011.78,2047.42,2,2,50,50,3,1,60,18,829,1227,11,-1
85,5313.6,5070.7,1957.84,1963.65,2,2,50,50,3,6,60,13,4305,1295,11,-1
86,5313.6,5070.7,1946.78,1888.9,2,1,20,20,3,6,0,3,702,484,58,-1
87,5313.6,5070.7,1862.5,1830.96,2,1,50,50,3,6,60,7,2809,968,33,-1
88,5313.6,5070.7,1856.49,1817.87,2,2,50,50,3,6,60,12,1017,523,94,-1
89,5313.6,5070.7,1822.62,1795.55,1,2,22,34,3,6,16,2,270,538,0,-1
90,5313.6,5070.7,1790.17,1740.63,2,2,50,50,2,5,60,2,402,691,63,-1
91,5313.6,5070.7,1741.3,1695.65,2,1,50,50,2,5,60,1,719,762,69,-1
92,5313.6,5070.7,1666.01,1561.27,1,1,50,50,2,4,60,0,1787,375,184,-1
93,4424.0,5070.7,1671.45,1545.07,2,1,50,50,17,4,60,1,239,1026,132,-1
94,4424.0,5070.7,1681.83,1509.46,2,1,50,50,17,4,60,1,1104,705,320,-1
95,4424.0,5070.7,1697.49,1509.82,2,2,50,50,17,4,60,3,979,1725,108,-1
96,4424.0,5070.7,1626.75,1466.76,2,1,50,50,16,4,60,1,3180,722,197,-1
97,4424.0,5070.7,1575.22,1456.07,1,1,50,50,15,4,60,0,3499,748,42,-1
98,4424.0,4709.2,1520.41,1458.13,1,1,50,50,13,5,60,0,1771,873,246,-1
99,4424.0,4709.2,1491.37,1377.55,1,2,50,50,11,5,60,1,5674,628,64,-1
100,4424.0,4709.2,1465.52,1410.2,2,2,50,50,11,5,60,2,2372,690,1,-1
101,4424.0,4709.2,1444.29,1379.86,2,2,50,50,9,5,60,4,1495,786,243,-1
102,4424.0,4709.2,1407.41,1377.66,2,2,50,50,7,5,60,4,1426,820,27,-1
103,4424.0,4218.0,1391.0,1362.61,2,2,50,50,7,12,60,6,1685,698,128,-1
104,4424.0,3859.4,1402.72,1338.31,1,2,50,50,7,14,60,1,874,784,142,-1
105,4424.0,3859.4,1401.77,1347.57,2,2,50,50,7,12,60,5,398,679,196,-1
106,4290.0,3859.4,1380.58,1380.24,2,2,50,50,8,13,60,4,369,974,60,-1
107,4290.0,3859.4,1363.92,1409.28,2,2,50,50,6,13,60,4,206,537,3,-1
108,4290.0,3859.4,1306.84,1431.33,2,2,50,50,5,12,60,8,2925,282,122,-1
