gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,teammates_reach,winner
4142,9841.0,9961.5,4603.17,4598.98,3,2,50,50,9,9,60,79,0,0,0,50,780,0,0,10648,-1
4143,9841.0,9961.5,4605.07,4632.39,3,3,50,50,9,10,60,81,0,0,0,36,425,0,0,11863,-1
4144,9841.0,10078.4,4582.43,4632.06,3,3,50,50,8,10,60,74,0,0,0,52,929,0,0,10997,-1
4145,9841.0,10078.4,4573.76,4633.95,3,3,50,50,8,10,60,78,0,0,0,54,477,0,0,11574,-1
4146,9841.0,10078.4,4580.86,4624.48,2,3,50,50,8,10,60,70,0,0,0,28,596,0,0,11759,-1
4147,9841.0,10078.4,4555.18,4570.6,2,2,50,50,7,9,60,71,0,0,0,48,807,0,0,10880,-1
4148,9841.0,10078.4,4557.49,4541.31,2,2,50,50,7,8,60,77,0,0,0,69,815,0,0,11210,-1
4149,9841.0,10078.4,4567.08,4518.23,3,3,50,50,8,7,60,74,0,0,0,36,663,0,0,10932,-1
4150,9841.0,10078.4,4579.41,4537.78,3,3,50,50,9,8,60,73,0,0,0,108,594,0,0,11546,-1
4151,9841.0,10078.4,4578.03,4533.08,3,3,50,50,9,8,60,71,0,0,0,128,820,0,0,11553,-1
4152,9841.0,10078.4,4583.93,4506.91,2,2,50,50,9,7,60,66,0,0,0,31,614,0,0,11281,-1
4153,9841.0,10078.4,4577.95,4574.75,3,3,50,50,8,9,60,74,0,0,0,30,577,0,0,11945,-1
4154,9841.0,10078.4,4579.38,4532.35,2,2,50,50,8,8,60,68,0,0,0,52,448,0,0,11524,-1
4155,9841.0,9961.5,4595.4,4535.45,2,3,50,50,8,8,60,72,0,0,0,28,504,0,0,11797,-1
4156,9841.0,9961.5,4570.72,4540.78,2,2,50,50,7,8,60,72,0,0,0,39,517,0,0,12190,-1
4157,9841.0,9961.5,4560.39,4540.77,3,3,50,50,7,8,60,67,0,0,0,59,605,0,0,11306,-1
4158,9841.0,9961.5,4549.61,4516.85,3,3,50,50,7,7,60,72,0,0,0,52,414,0,0,11791,-1
4159,9841.0,9961.5,4525.74,4539.16,2,2,50,50,6,7,60,69,0,0,0,36,499,0,0,11978,-1
4160,9841.0,9666.5,4512.44,4540.57,2,2,50,50,5,6,60,77,0,0,0,37,542,0,0,11770,-1
4161,9841.0,9666.5,4573.96,4506.39,3,2,50,50,8,4,60,77,0,0,0,79,500,0,0,11566,-1
4162,9858.1,9666.5,4594.08,4524.94,3,2,50,50,9,4,60,72,0,0,0,23,225,0,0,12585,-1
4163,9858.1,9666.5,4603.4,4545.42,3,3,50,50,9,5,60,81,0,0,0,87,574,0,0,11148,-1
4164,9858.1,9532.1,4598.17,4536.62,3,3,50,50,9,5,60,69,0,0,0,103,439,0,0,12016,-1
4165,9858.1,9963.6,4588.7,4585.55,2,3,50,50,8,7,60,78,0,0,0,87,507,0,0,11687,-1
4166,9841.0,9963.6,4548.42,4542.41,2,2,50,50,6,5,60,68,0,0,0,36,427,0,0,11848,-1
4167,9841.0,9963.6,4540.12,4550.63,3,3,50,50,5,5,60,68,0,0,0,95,434,0,0,11660,-1
4168,9841.0,9963.6,4524.46,4576.18,2,3,50,50,5,6,60,76,0,0,0,100,654,0,0,11066,-1
4169,9841.0,9839.4,4543.37,4551.59,3,3,50,50,6,5,60,75,0,0,0,67,429,0,0,11818,-1
4170,9841.0,9839.4,4605.84,4585.57,3,3,50,50,8,7,60,69,0,0,0,110,340,0,0,11584,-1
