gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,useless_drops,winner
4250,3399.8,3499.8,2296.28,2289.27,2,2,50,50,25,12,60,77,1021,0,24,-1
4300,3349.5,3404.6,2309.65,2311.1,3,2,50,50,25,25,60,79,994,0,27,-1
4350,3349.6,3439.7,2340.5,2308.91,2,2,50,50,25,25,60,80,477,0,7,-1
4400,3349.7,3444.7,2254.47,2260.57,2,3,50,50,25,25,60,73,524,0,14,-1
4450,3399.9,3399.8,2333.26,2330.99,2,2,50,50,25,25,60,82,499,0,20,-1
4500,3379.8,3449.9,2331.92,2329.82,2,2,50,50,25,25,60,84,427,0,20,-1
4550,3494.9,3449.9,2344.08,2346.06,2,2,50,50,25,25,60,74,390,0,64,-1
4600,3450.0,3384.9,2340.33,2371.71,2,3,50,50,25,25,60,74,473,0,33,-1
4650,3350.0,3499.9,2325.72,2332.44,2,2,50,50,25,23,60,76,645,0,38,-1
4700,3450.0,3500.0,2319.72,2351.48,3,2,50,50,18,25,60,73,1047,0,53,-1
4750,3440.0,3350.0,2315.08,2312.32,2,2,50,50,25,25,60,82,2336,0,37,-1
4800,3399.9,3500.0,2337.87,2370.79,3,2,50,50,25,25,60,75,387,0,13,-1
4850,3500.0,3395.0,2350.35,2332.55,3,2,50,50,25,25,60,74,600,0,13,-1
4900,3350.0,3350.0,2334.46,2334.26,3,3,50,50,25,25,60,82,796,0,7,-1
4950,3440.0,3450.0,2323.08,2339.8,3,3,50,50,25,25,60,76,2668,0,6,-1
